address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
1/74-warrandyte-road-ringwood-vic-3134,Ringwood,258000,06-Aug-2021,1,1,1,86,m2,Retirement Living,https://www.domain.com.au/1-74-warrandyte-road-ringwood-vic-3134-2017123668,Gas*-Internal Laundry*-Broadband internet access*-Bath*-Built in wardrobes-Garden / Courtyard-Dishwasher-Fully fenced-Heating-Shed,0.9-1.2-1.2,3,,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
6/74-warrandyte-road-ringwood-vic-3134,Ringwood,259000,27-May-2021,1,1,-1,83,m2,Retirement Living,https://www.domain.com.au/6-74-warrandyte-road-ringwood-vic-3134-2016846899,Built in wardrobes*-Internal Laundry*-Pets Allowed*-Garden*,0.9-1.2-1.2,3,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17-hillcrest-avenue-ringwood-vic-3134,Ringwood,557000,30-Nov-2019,1,1,-1,975,m2,House,https://www.domain.com.au/17-hillcrest-avenue-ringwood-vic-3134-2015844043,,0.8-2.1-1.5,3,Nov/2019/557000.0/SOLD-Aug/2018/495000.0/SOLD-Mar/2017/455000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365-maroondah-highway-ringwood-vic-3134,Ringwood,825000,19-Nov-2021,2,1,1,346,m2,House,https://www.domain.com.au/365-maroondah-highway-ringwood-vic-3134-2017392030,Heating-Built in wardrobes-Close to transport-Close to shops-Close to schools-Study,0.8-1-1.4,3,Nov/2021/825000.0/SOLD-Nov/2014/442000.0/SOLD-Mar/2009/293500.0/SOLD,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
20-pratt-street-ringwood-vic-3134,Ringwood,1400000,28-Sep-2021,2,1,1,707,m2,House,https://www.domain.com.au/20-pratt-street-ringwood-vic-3134-2017216136,Secure Parking*,0.8-1.4-0.5,3,Sep/2021/1400000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347-maroondah-highway-ringwood-vic-3134,Ringwood,830000,03-Sep-2021,2,1,2,733,m2,House,https://www.domain.com.au/347-maroondah-highway-ringwood-vic-3134-2017077151,,0.8-1.1-1.3,3,Sep/2021/830000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2a-surrey-street-ringwood-vic-3134,Ringwood,852000,26-Jun-2021,2,2,2,259,m2,House,https://www.domain.com.au/2a-surrey-street-ringwood-vic-3134-2017025890,,0.9-1.3-5.1,3,Jun/2021/852000.0/SOLD-Dec/2009/400000.0/SOLD-May/2006/271000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8-12-albert-street-ringwood-vic-3134,Ringwood,365000,04-May-2021,2,1,-1,118,m2,Retirement Living,https://www.domain.com.au/4-8-12-albert-street-ringwood-vic-3134-2016951332,Internal Laundry*-Broadband internet access*-Built in wardrobes-Garden / Courtyard-Heating-Air conditioning,1.2-1.3-5.4,3,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2/13-heather-grove-ringwood-vic-3134,Ringwood,750000,01-May-2021,2,1,1,278,m2,House,https://www.domain.com.au/2-13-heather-grove-ringwood-vic-3134-2016921455,Heating*-Garden*-Balcony / Deck*,1.4-1.7-4.6,3,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
4/74-warrandyte-road-ringwood-vic-3134,Ringwood,395000,21-Apr-2021,2,1,1,122,m2,Retirement Living,https://www.domain.com.au/4-74-warrandyte-road-ringwood-vic-3134-2016891330,Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Garden*,0.9-1.2-1.2,3,,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
