address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,built_in_wardrobes
78-bowes-avenue-airport-west-vic-3042,Airport West,1099000,11-Sep-2021,2,1,1,696,m2,House,https://www.domain.com.au/78-bowes-avenue-airport-west-vic-3042-2017215776,Gas*-Internal Laundry*-Secure Parking*-Dishwasher*-Shed*-Garden*,0.7-2.4-0.6,3,Sep/2021/1099000.0/SOLD,0
139-victory-road-airport-west-vic-3042,Airport West,955000,05-Jun-2021,2,1,3,613,m2,House,https://www.domain.com.au/139-victory-road-airport-west-vic-3042-2016995157,Internal Laundry*-Secure Parking*-Fireplace(s)*-Garden*,1.5-3.1-0.8,3,Jun/2021/955000.0/SOLD,0
145-mcnamara-avenue-airport-west-vic-3042,Airport West,580500,01-Apr-2020,2,1,1,255,m2,House,https://www.domain.com.au/145-mcnamara-avenue-airport-west-vic-3042-2016119289,Secure Parking-Fully fenced-Open Spaces-Split System AirCon-Built in wardrobes-Ducted Heating-Alarm System,1.3-3-0.6,3,Mar/2020/580500.0/SOLD,1
52-el-reno-crescent-airport-west-vic-3042,Airport West,607000,18-Jul-2015,2,1,1,510,m2,House,https://www.domain.com.au/52-el-reno-crescent-airport-west-vic-3042-2012058318,Water Tank-Shed-Fully fenced-Gas Heating-Split System AirCon,0.8-2.5-0.4,3,Dec/2017/1415000.0/SOLD-Jul/2015/607000.0/SOLD,0
92-clydesdale-road-airport-west-vic-3042,Airport West,455000,08-Jul-2010,2,1,1,300,m2,House,https://www.domain.com.au/92-clydesdale-road-airport-west-vic-3042-2008444869,Floorboards-Renovated,1.1-1-2.7,3,Jun/2017/670000.0/SOLD-Jul/2010/330.0/SOLD,0
7-chancellor-road-airport-west-vic-3042,Airport West,917500,06-Dec-2021,3,2,2,533,m2,House,https://www.domain.com.au/7-chancellor-road-airport-west-vic-3042-2017327453,Secure Parking*,0.4-0.3-2.1,3,Dec/2021/917500.0/SOLD-Jun/1988/121000.0/SOLD,0
114-halsey-road-airport-west-vic-3042,Airport West,1012000,15-Nov-2021,3,1,2,621,m2,House,https://www.domain.com.au/114-halsey-road-airport-west-vic-3042-2017332094,Built in wardrobes*-Internal Laundry*-Secure Parking*-Broadband internet access*-Heating*,1.4-3.1-0.7,3,Nov/2021/1012000.0/SOLD,1
21-hilbert-road-airport-west-vic-3042,Airport West,1000000,06-Oct-2021,3,1,2,640,m2,House,https://www.domain.com.au/21-hilbert-road-airport-west-vic-3042-2017167906,Gas*-Internal Laundry*-Secure Parking*-1 Toilets-Built in wardrobes-Ducted Heating-Floorboards,1.1-1-2.4,3,Oct/2021/1000000.0/SOLD-Jun/1992/119000.0/SOLD,1
239-parer-road-airport-west-vic-3042,Airport West,1046000,30-Sep-2021,3,2,2,546,m2,House,https://www.domain.com.au/239-parer-road-airport-west-vic-3042-2017214143,Remote Garage-Secure Parking-Floorboards-Gym-Dishwasher-Ducted Heating-Rumpus Room-Ensuite-Air conditioning,1-1-2.2,3,Sep/2021/1046000.0/SOLD,0
2-bedford-street-airport-west-vic-3042,Airport West,1010500,21-Aug-2021,3,1,1,574,m2,House,https://www.domain.com.au/2-bedford-street-airport-west-vic-3042-2017167700,Garden*,1.1-1-2.8,3,Aug/2021/1010500.0/SOLD-Aug/1992/180.0/SOLD,0
141-parer-road-airport-west-vic-3042,Airport West,715000,14-Aug-2021,3,1,1,354,m2,House,https://www.domain.com.au/141-parer-road-airport-west-vic-3042-2017095820,Internal Laundry*-Dishwasher*-Fully fenced*-Garden*,1.3-1.2-2.9,3,Aug/2021/715000.0/SOLD,0
27-north-street-airport-west-vic-3042,Airport West,1000000,19-Jun-2021,3,1,1,586,m2,House,https://www.domain.com.au/27-north-street-airport-west-vic-3042-2017016084,Garden*,1.2-1.1-2.8,3,Jun/2021/1000000.0/SOLD,0
10-roberts-road-airport-west-vic-3042,Airport West,1242000,05-Jun-2021,3,1,1,747,m2,House,https://www.domain.com.au/10-roberts-road-airport-west-vic-3042-2016998789,Secure Parking*-Heating*,0.7-2.4-0.3,3,Jun/2021/1242000.0/SOLD,0
70-hilbert-road-airport-west-vic-3042,Airport West,1000000,15-May-2021,3,2,3,595,m2,House,https://www.domain.com.au/70-hilbert-road-airport-west-vic-3042-2016948943,Air conditioning*-Built in wardrobes*-Secure Parking*-Fireplace(s)*-Dishwasher*-Garden*-Balcony / Deck*,0.9-0.8-2.1,3,May/2021/1000000.0/SOLD-Mar/2000/255000.0/SOLD,1
119-marshall-road-airport-west-vic-3042,Airport West,760000,07-May-2021,3,1,2,356,m2,House,https://www.domain.com.au/119-marshall-road-airport-west-vic-3042-2016923341,Built in wardrobes*-Internal Laundry*-Bath*-Heating*-Shed*-Garden*,1.6-3.2-0.9,3,May/2021/760000.0/SOLD-Jul/2011/395000.0/SOLD-Apr/2000/154000.0/SOLD,1
22-harrington-road-airport-west-vic-3042,Airport West,891000,03-May-2021,3,1,2,596,m2,House,https://www.domain.com.au/22-harrington-road-airport-west-vic-3042-2016948403,Built in wardrobes*-Internal Laundry*-Secure Parking*-Heating*-Garden*,0.9-0.9-2.3,3,Apr/2021/891000.0/SOLD-May/2017/782500.0/SOLD,1
39-fraser-street-airport-west-vic-3042,Airport West,965500,19-Apr-2021,3,2,4,774,m2,House,https://www.domain.com.au/39-fraser-street-airport-west-vic-3042-2016872264,Heating*-Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Formal Lounge-Separate Dining,1-2.7-0.6,3,Apr/2021/420.0/SOLD,1
58-marshall-road-airport-west-vic-3042,Airport West,905000,16-Apr-2021,3,2,1,615,m2,House,https://www.domain.com.au/58-marshall-road-airport-west-vic-3042-2016908615,Garden*,1.7-3.4-1.1,3,May/2021/905000.0/SOLD,0
62-hawker-street-airport-west-vic-3042,Airport West,970000,19-Mar-2021,3,1,3,761,m2,House,https://www.domain.com.au/62-hawker-street-airport-west-vic-3042-2016832568,Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden,1.2-2.9-0.6,3,Mar/2021/970000.0/SOLD,1
25a-glenys-avenue-airport-west-vic-3042,Airport West,837000,13-Mar-2021,3,2,1,191,m2,House,https://www.domain.com.au/25a-glenys-avenue-airport-west-vic-3042-2016169442,Air conditioning*-Gas*-Internal Laundry*-Secure Parking*-Intercom*-Dishwasher*-Study*-Garden*-Balcony / Deck*,0.9-0.8-2.4,3,Mar/2021/550.0/SOLD-Mar/2018/837000.0/SOLD,0
155-halsey-road-airport-west-vic-3042,Airport West,868000,12-Mar-2021,3,1,2,613,m2,House,https://www.domain.com.au/155-halsey-road-airport-west-vic-3042-2016777453,Internal Laundry*-Secure Parking*-Heating*,1.4-1.3-3,3,Mar/2021/868000.0/SOLD,0
16-roberts-road-airport-west-vic-3042,Airport West,845000,14-Feb-2021,3,1,1,604,m2,House,https://www.domain.com.au/16-roberts-road-airport-west-vic-3042-2016685704,Heating*,0.6-2.3-0.2,3,Jan/2021/845000.0/SOLD-May/2019/360.0/SOLD,0
56-hilbert-road-airport-west-vic-3042,Airport West,950000,06-Feb-2021,3,2,2,639,m2,House,https://www.domain.com.au/56-hilbert-road-airport-west-vic-3042-2016733228,Heating*-Garden*-Secure Parking,1-1-2.2,3,Feb/2021/950000.0/SOLD,0
70a-clydesdale-road-airport-west-vic-3042,Airport West,865000,06-Feb-2021,3,2,1,382,m2,House,https://www.domain.com.au/70a-clydesdale-road-airport-west-vic-3042-2016728352,Air conditioning*-Internal Laundry*-Secure Parking*-Broadband internet access*-Bath*-Heating*-Dishwasher*-Shed*,0.9-0.8-2.6,3,Feb/2021/865000.0/SOLD,0
3a-chancellor-road-airport-west-vic-3042,Airport West,807500,22-Dec-2020,3,2,1,311,m2,House,https://www.domain.com.au/3a-chancellor-road-airport-west-vic-3042-2016667478,Internal Laundry*-Secure Parking*-Intercom*-Broadband internet access*-Heating*-Study*-Garden*,0.4-0.3-2.1,3,Dec/2020/807500.0/SOLD,0
41-el-reno-crescent-airport-west-vic-3042,Airport West,830000,19-Dec-2020,3,2,1,271,m2,House,https://www.domain.com.au/41-el-reno-crescent-airport-west-vic-3042-2016649112,Internal Laundry*-Pets Allowed*-Secure Parking*-Heating*-Garden*-Balcony / Deck*,0.8-2.5-0.4,3,Dec/2020/830000.0/SOLD-Dec/1999/180000.0/SOLD-Jun/1992/120000.0/SOLD,0
131-marshall-road-airport-west-vic-3042,Airport West,1070000,12-Dec-2020,3,2,2,613,m2,House,https://www.domain.com.au/131-marshall-road-airport-west-vic-3042-2016629193,Air conditioning*-Secure Parking*-Heating*-Shed*-Garden*-Balcony / Deck*,1.6-3.2-0.9,3,Dec/2020/1070000.0/SOLD-Oct/2002/258500.0/SOLD-Feb/1991/103000.0/SOLD,0
31-hilbert-road-airport-west-vic-3042,Airport West,927000,24-Oct-2020,3,2,4,639,m2,House,https://www.domain.com.au/31-hilbert-road-airport-west-vic-3042-2016392547,Internal Laundry-Alarm System,1-1-2.2,3,Oct/2020/927000.0/SOLD-May/1998/176000.0/SOLD,0
106-bowes-avenue-airport-west-vic-3042,Airport West,795000,13-Aug-2020,3,1,1,697,m2,House,https://www.domain.com.au/106-bowes-avenue-airport-west-vic-3042-2016329133,Fully fenced,0.9-2.6-0.5,3,Aug/2020/795000.0/SOLD,0
111-halsey-road-airport-west-vic-3042,Airport West,780000,18-Jun-2020,3,1,2,613,m2,House,https://www.domain.com.au/111-halsey-road-airport-west-vic-3042-2016301754,Fully fenced-Remote Garage-Broadband Internet Available-Floorboards-Rumpus Room-Gas Heating-Split-System Air Conditioning-Split-System Heating-Water Tank,1.4-3.1-0.7,3,Jun/2020/780000.0/SOLD-May/2003/350000.0/SOLD-May/2002/224000.0/SOLD,0
12-highlawn-avenue-airport-west-vic-3042,Airport West,800000,22-May-2020,3,1,1,607,m2,House,https://www.domain.com.au/12-highlawn-avenue-airport-west-vic-3042-2016255332,Gas*-Internal Laundry*-Secure Parking*-Heating*-Shed*-Garden*,0.7-2.4-0.2,3,May/2020/420.0/SOLD,0
69-victory-road-airport-west-vic-3042,Airport West,755000,21-May-2020,3,2,2,613,m2,House,https://www.domain.com.au/69-victory-road-airport-west-vic-3042-2016168076,Secure Parking-Courtyard-Shed-Fully fenced-Open Spaces-Workshop-Floorboards-Built in wardrobes-Ducted Heating-Study,1.5-3.3-0.9,3,May/2020/755000.0/SOLD-Jan/1994/105000.0/SOLD,1
25a-mcnamara-avenue-airport-west-vic-3042,Airport West,735000,21-Mar-2020,3,1,1,286,m2,House,https://www.domain.com.au/25a-mcnamara-avenue-airport-west-vic-3042-2016094900,Built in wardrobes*-Gas*-Internal Laundry*-Secure Parking*-Bath*-Dishwasher*-Garden*,0.3-2-0.5,3,Mar/2020/735000.0/SOLD,1
104-bowes-avenue-airport-west-vic-3042,Airport West,915000,29-Feb-2020,3,1,2,724,m2,House,https://www.domain.com.au/104-bowes-avenue-airport-west-vic-3042-2016058588,Air conditioning*-Secure Parking*-Heating*-Garden*,0.9-2.6-0.5,3,Mar/2020/400.0/SOLD,0
57-el-reno-crescent-airport-west-vic-3042,Airport West,900000,25-Jan-2020,3,2,1,290,m2,House,https://www.domain.com.au/57-el-reno-crescent-airport-west-vic-3042-2015808294,Deck-Outdoor Entertainment Area-Remote Garage-Alarm System-Built in wardrobes-Dishwasher-Floorboards-Intercom-Air conditioning-Reverse Cycle Air Conditioning,0.9-2.6-0.4,3,Jan/2020/900000.0/SOLD,1
48-cameron-street-airport-west-vic-3042,Airport West,1010000,07-Dec-2019,3,1,1,781,m2,House,https://www.domain.com.au/48-cameron-street-airport-west-vic-3042-2015869499,Gas*-Internal Laundry*-Secure Parking*-Garden*,0.7-2.2-0.7,3,Dec/2019/1010000.0/SOLD,0
41-roberts-road-airport-west-vic-3042,Airport West,837000,09-Aug-2019,3,1,2,525,m2,House,https://www.domain.com.au/41-roberts-road-airport-west-vic-3042-2014775929,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Fireplace(s)-Garden-Secure Parking-Formal Lounge,0.5-0.4-2.2,3,Jul/2019/837000.0/SOLD-Dec/2009/505000.0/SOLD-Feb/2001/264000.0/SOLD,1
54-highridge-crescent-airport-west-vic-3042,Airport West,790000,23-May-2019,3,1,1,782,m2,House,https://www.domain.com.au/54-highridge-crescent-airport-west-vic-3042-2014979890,Internal Laundry-North Facing-Fully fenced,0.8-2.6-0.3,3,Mar/2021/1030000.0/SOLD,0
70-victory-road-airport-west-vic-3042,Airport West,700000,28-Mar-2019,3,1,4,612,m2,House,https://www.domain.com.au/70-victory-road-airport-west-vic-3042-2014612680,Built in wardrobes-Dishwasher-Ducted Heating-Evaporative Cooling-Water Tank,1.6-3.3-0.9,3,Nov/2020/828500.0/SOLD-Mar/2019/700000.0/SOLD,1
69-king-street-airport-west-vic-3042,Airport West,925000,17-Apr-2018,3,1,2,775,m2,House,https://www.domain.com.au/69-king-street-airport-west-vic-3042-2014273534,Secure Parking-Outdoor Entertaining-Shed-Fully fenced-Workshop-Split System AirCon-Built in wardrobes,1-2.7-0.4,3,Apr/2018/925000.0/SOLD,1
76-marshall-road-airport-west-vic-3042,Airport West,870000,24-Mar-2018,3,1,2,614,m2,House,https://www.domain.com.au/76-marshall-road-airport-west-vic-3042-2014233293,Shed-Fully fenced-Rumpus Room,1.6-3.4-1,3,Mar/2018/870000.0/SOLD,0
18-glenys-avenue-airport-west-vic-3042,Airport West,790000,09-Oct-2017,3,1,5,536,m2,House,https://www.domain.com.au/18-glenys-avenue-airport-west-vic-3042-2013831255,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Secure Parking-Floorboards-Formal Lounge,0.9-0.9-2.4,3,Nov/2017/790000.0/SOLD,1
33-bedford-street-airport-west-vic-3042,Airport West,860000,23-Sep-2017,3,2,2,593,m2,House,https://www.domain.com.au/33-bedford-street-airport-west-vic-3042-2013804523,Internal Laundry-North Facing-Fully fenced,1.2-1.1-2.7,3,Sep/2017/860000.0/SOLD,0
16-glenys-avenue-airport-west-vic-3042,Airport West,858000,20-Jun-2017,3,1,3,536,m2,House,https://www.domain.com.au/16-glenys-avenue-airport-west-vic-3042-2013624324,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Garden-Floorboards-Formal Lounge-Next Door to Parkland,0.9-0.9-2.4,3,Jun/2017/858000.0/SOLD-Apr/2016/635000.0/SOLD,1
29-moorna-drive-airport-west-vic-3042,Airport West,670000,28-Oct-2016,3,2,2,685,m2,House,https://www.domain.com.au/29-moorna-drive-airport-west-vic-3042-2012769782,Floorboards-Built in wardrobes-Ducted Heating,1.1-1.1-2,3,Oct/2016/670000.0/SOLD-Feb/1986/130000.0/SOLD-Mar/1983/101000.0/SOLD,1
36-elstone-avenue-airport-west-vic-3042,Airport West,1180000,30-Apr-2016,3,1,2,820,m2,House,https://www.domain.com.au/36-elstone-avenue-airport-west-vic-3042-2012697465,Secure Parking-Outdoor Entertaining-Workshop-Ducted Heating,0.9-2.2-1.1,3,Apr/2016/1180000.0/SOLD,0
204-parer-road-airport-west-vic-3042,Airport West,680000,30-Apr-2016,3,2,1,601,m2,House,https://www.domain.com.au/204-parer-road-airport-west-vic-3042-2012705923,Ensuite-Deck-Floorboards-Evaporative Cooling-Built in wardrobes-Dishwasher-Ducted Heating,1.3-1.3-2.8,3,Apr/2016/550.0/SOLD,1
16-glenys-avenue-airport-west-vic-3042,Airport West,635000,28-Apr-2016,3,1,4,550,m2,House,https://www.domain.com.au/16-glenys-avenue-airport-west-vic-3042-2012715305,Built in wardrobes-Fully fenced-Outdoor Entertainment Area-Secure Parking-Shed-Pay TV Access-Gas Heating,0.9-0.9-2.4,3,Jun/2017/858000.0/SOLD-Apr/2016/635000.0/SOLD,1
28-etzel-street-airport-west-vic-3042,Airport West,599000,27-Apr-2016,3,1,1,287,m2,House,https://www.domain.com.au/28-etzel-street-airport-west-vic-3042-2012658026,Courtyard-Solar panels-Remote Garage-Secure Parking-Fully fenced-Floorboards-Broadband-Built in wardrobes-Dishwasher-Ducted Heating,1.1-1-2.6,3,Apr/2016/490.0/SOLD-Mar/2006/599000.0/SOLD,1
180-parer-road-airport-west-vic-3042,Airport West,830000,16-Apr-2016,3,1,2,962,m2,House,https://www.domain.com.au/180-parer-road-airport-west-vic-3042-2012671589,Shed-Fully fenced,1.4-1.3-2.9,3,Apr/2016/830000.0/SOLD,0
45a-elstone-avenue-airport-west-vic-3042,Airport West,620000,08-Apr-2016,3,1,1,206,m2,House,https://www.domain.com.au/45a-elstone-avenue-airport-west-vic-3042-2012548462,Deck-Courtyard-Remote Garage-Outdoor Entertaining-Shed-Fully fenced-Floorboards-Split System AirCon-Built in wardrobes-Ducted Heating,0.9-2.2-1,3,Apr/2016/620000.0/SOLD-Jul/2014/525000.0/SOLD-Mar/2007/350000.0/SOLD,1
214-parer-road-airport-west-vic-3042,Airport West,590000,06-Apr-2016,3,1,2,595,m2,House,https://www.domain.com.au/214-parer-road-airport-west-vic-3042-2012640657,Secure Parking-Outdoor Entertaining-Fully fenced-Indoor Spa-Gas Heating-Split System AirCon,1.3-1.2-2.7,3,Apr/2016/300.0/SOLD-Oct/1991/590000.0/SOLD,0
27-creswell-avenue-airport-west-vic-3042,Airport West,869000,06-Nov-2015,3,1,3,697,m2,House,https://www.domain.com.au/27-creswell-avenue-airport-west-vic-3042-2012170614,Deck-Water Tank-Above Ground Pool-Outdoor Entertaining-Shed-Fully fenced-Outdoor Spa-Split System Heating-Floorboards-Split System AirCon-Broadband-Built in wardrobes-Cable or Satellite-Dishwasher-Ducted Heating-Reverse Cycle AirCon-Open Fireplace,0.8-2.1-1,3,Oct/2015/869000.0/SOLD-Apr/2005/348000.0/SOLD,1
246-parer-road-airport-west-vic-3042,Airport West,590000,29-Oct-2015,3,1,1,603,m2,House,https://www.domain.com.au/246-parer-road-airport-west-vic-3042-2012265034,Internal Laundry-Dishwasher-Fully fenced,1.2-1.2-2.5,3,Oct/2015/590000.0/SOLD,0
13-south-road-airport-west-vic-3042,Airport West,620000,19-Oct-2015,3,2,2,346,m2,House,https://www.domain.com.au/13-south-road-airport-west-vic-3042-2012287957,Ensuite-Deck-Courtyard-Secure Parking-Outdoor Entertaining-Fully fenced-Floorboards-Split System AirCon-Built in wardrobes-Dishwasher-Ducted Heating,0.9-0.8-2.5,3,Oct/2015/620000.0/SOLD-Jun/2011/495000.0/SOLD-Feb/2003/232000.0/SOLD,1
104-halsey-road-airport-west-vic-3042,Airport West,688000,29-Aug-2015,3,1,1,616,m2,House,https://www.domain.com.au/104-halsey-road-airport-west-vic-3042-2012158276,Shed-Fully fenced-Gas Heating-Split System Heating-Built in wardrobes-Ducted Heating,1.4-3.1-0.8,3,Aug/2015/688000.0/SOLD,1
123-bowes-avenue-airport-west-vic-3042,Airport West,582000,08-Aug-2015,3,1,1,303,m2,House,https://www.domain.com.au/123-bowes-avenue-airport-west-vic-3042-2012114640,Courtyard-Outdoor Entertaining-Shed-Fully fenced-Floorboards-Broadband-Built in wardrobes-Cable or Satellite-Dishwasher-Ducted Heating,0.9-2.6-0.5,3,Aug/2015/582000.0/SOLD-Oct/2010/415000.0/SOLD,1
12-highlands-avenue-airport-west-vic-3042,Airport West,635000,30-May-2015,3,1,1,579,m2,House,https://www.domain.com.au/12-highlands-avenue-airport-west-vic-3042-2011944206,Secure Parking-Shed-Fully fenced-Gas Heating-Built in wardrobes,1-2.7-0.4,3,May/2015/635000.0/SOLD,1
32-hillside-grove-airport-west-vic-3042,Airport West,642500,16-May-2015,3,1,3,629,m2,House,https://www.domain.com.au/32-hillside-grove-airport-west-vic-3042-2011906188,Alarm System-Secure Parking-Shed-Fully fenced-Built in wardrobes-Dishwasher-Ducted Heating,0.6-0.5-2,3,May/2015/642500.0/SOLD,1
140-halsey-road-airport-west-vic-3042,Airport West,637500,09-May-2015,3,1,1,613,m2,House,https://www.domain.com.au/140-halsey-road-airport-west-vic-3042-2011896663,Alarm System-Shed-Fully fenced-Gas Heating-Workshop-Split System AirCon-Dishwasher,1.4-1.3-3.1,3,Nov/2016/738000.0/SOLD-May/2015/637500.0/SOLD-Oct/1998/134000.0/SOLD,0
67-king-street-airport-west-vic-3042,Airport West,767000,02-May-2015,3,1,1,774,m2,House,https://www.domain.com.au/67-king-street-airport-west-vic-3042-2011883324,Water Tank-Secure Parking-Outdoor Entertaining-Shed-Fully fenced-Gas Heating-Workshop-Built in wardrobes-Rumpus Room-Study,1-2.7-0.4,3,Jun/2015/767000.0/SOLD,1
46-elstone-avenue-airport-west-vic-3042,Airport West,715000,12-Aug-2014,3,1,3,694,m2,House,https://www.domain.com.au/46-elstone-avenue-airport-west-vic-3042-2011344193,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Formal Lounge-Garden-Floorboards-Secure Parking-Separate Dining,0.9-2.2-1.1,3,Aug/2014/715000.0/SOLD-Dec/1985/94000.0/SOLD,1
91-marshall-road-airport-west-vic-3042,Airport West,581000,30-May-2014,3,1,2,613,m2,House,https://www.domain.com.au/91-marshall-road-airport-west-vic-3042-2011056451,Study,1.6-3.3-0.9,3,Jul/2017/845000.0/SOLD-May/2014/581000.0/SOLD-Oct/1980/27500.0/SOLD,0
1-oak-street-airport-west-vic-3042,Airport West,488000,12-Oct-2013,3,1,1,458,m2,House,https://www.domain.com.au/1-oak-street-airport-west-vic-3042-2010700197,Study,0.4-2-0.7,3,Oct/2013/488000.0/SOLD,0
60-bedford-street-airport-west-vic-3042,Airport West,610000,03-Mar-2012,3,1,2,957,m2,House,https://www.domain.com.au/60-bedford-street-airport-west-vic-3042-2009483037,Floorboards-Fully fenced-Gas-Heating-Internal Laundry-Secure Parking,1.2-1.2-2.7,3,Mar/2012/610000.0/SOLD-Mar/2002/200.0/SOLD,0
166-parer-road-airport-west-vic-3042,Airport West,965000,23-Nov-2021,4,1,1,613,m2,House,https://www.domain.com.au/166-parer-road-airport-west-vic-3042-2017332219,Internal Laundry*-Secure Parking*-Fireplace(s)*-1 Toilets-Built in wardrobes-Evaporative Cooling-Floorboards,1.4-1.3-2.9,3,Nov/2021/965000.0/SOLD,1
136-halsey-road-airport-west-vic-3042,Airport West,1385000,14-Nov-2021,4,2,2,612,m2,House,https://www.domain.com.au/136-halsey-road-airport-west-vic-3042-2017349088,Gas*-Internal Laundry*-Secure Parking*-Shed*-2 Toilets-Built in wardrobes-Dishwasher-Ducted Heating-Floorboards-Study,1.4-1.3-3.1,3,Nov/2021/1385000.0/SOLD-Dec/2017/1070000.0/SOLD-Jun/2002/263000.0/SOLD,1
39-harrington-road-airport-west-vic-3042,Airport West,1140000,16-Oct-2021,4,2,1,601,m2,House,https://www.domain.com.au/39-harrington-road-airport-west-vic-3042-2017262302,Air conditioning*-Internal Laundry*-Bath*-2 Toilets-Alarm System-Built in wardrobes-Dishwasher-Ducted Heating-Evaporative Cooling-Floorboards,1-1-2.2,3,Oct/2021/1140000.0/SOLD-Jul/2017/915000.0/SOLD-Jul/2000/220000.0/SOLD,1
48-hood-street-airport-west-vic-3042,Airport West,1018000,13-Sep-2021,4,1,1,780,m2,House,https://www.domain.com.au/48-hood-street-airport-west-vic-3042-2017192450,Garden*-1 Toilets,1-2.7-0.6,3,Sep/2021/1018000.0/SOLD-Jun/2019/685000.0/SOLD-Jul/2014/485000.0/SOLD,0
2-alsom-place-airport-west-vic-3042,Airport West,1140000,07-Aug-2021,4,2,2,697,m2,House,https://www.domain.com.au/2-alsom-place-airport-west-vic-3042-2017118565,Built in wardrobes*-Secure Parking*-Heating*-Fully fenced*-Garden*,0.7-0.7-2,3,Aug/2021/1140000.0/SOLD-Feb/1989/520.0/SOLD,1
30-kingsley-road-airport-west-vic-3042,Airport West,1100000,12-Jun-2021,4,2,3,540,m2,House,https://www.domain.com.au/30-kingsley-road-airport-west-vic-3042-2017022777,Built in wardrobes*-Gas*-Dishwasher*-Garden*,0.8-0.7-2.2,3,Jun/2021/1100000.0/SOLD-Aug/2012/600000.0/SOLD-Feb/2010/575000.0/SOLD,1
157-halsey-road-airport-west-vic-3042,Airport West,1430000,08-May-2021,4,2,2,613,m2,House,https://www.domain.com.au/157-halsey-road-airport-west-vic-3042-2016917753,Secure Parking*-Fireplace(s)*-Heating*-Dishwasher*-Garden*-Balcony / Deck*,1.4-1.3-3,3,May/2021/1430000.0/SOLD-Jan/2003/730.0/SOLD,0
17a-kingsley-road-airport-west-vic-3042,Airport West,975000,24-Apr-2021,4,2,1,294,m2,House,https://www.domain.com.au/17a-kingsley-road-airport-west-vic-3042-2016877453,Internal Laundry*-Secure Parking*-Fireplace(s)*-Dishwasher*-Garden*-Balcony / Deck*,0.7-0.7-2,3,Apr/2021/975000.0/SOLD-Aug/2011/585000.0/SOLD-Jul/2005/170000.0/SOLD,0
25-ian-crescent-airport-west-vic-3042,Airport West,1200000,22-Apr-2021,4,2,1,549,m2,House,https://www.domain.com.au/25-ian-crescent-airport-west-vic-3042-2016896165,Built in wardrobes*-Gas*-Internal Laundry*-Secure Parking*-Bath*-Heating*-Dishwasher*-Garden*,0.5-0.5-2.2,3,Apr/2021/1200000.0/SOLD-Feb/2014/515000.0/SOLD,1
2-myrtle-grove-airport-west-vic-3042,Airport West,1000000,13-Mar-2021,4,2,2,582,m2,House,https://www.domain.com.au/2-myrtle-grove-airport-west-vic-3042-2016800181,Garden*,0.5-2.1-0.5,3,May/2021/550.0/SOLD,0
27a-el-reno-crescent-airport-west-vic-3042,Airport West,850000,09-Mar-2021,4,1,1,803,m2,House,https://www.domain.com.au/27a-el-reno-crescent-airport-west-vic-3042-2016652081,Built in wardrobes*-Internal Laundry*-Secure Parking*-Fireplace(s)*-Shed*-Garden*,0.6-2.3-0.5,3,Mar/2021/850000.0/SOLD,1
61-clydesdale-road-airport-west-vic-3042,Airport West,975000,05-Dec-2020,4,2,2,581,m2,House,https://www.domain.com.au/61-clydesdale-road-airport-west-vic-3042-2016604438,Built in wardrobes*-Internal Laundry*-Fireplace(s)*-Shed*-Garden*-Balcony / Deck*,0.9-0.9-2.6,3,Dec/2020/975000.0/SOLD-Aug/1991/123500.0/SOLD-Jan/1987/83000.0/SOLD,1
126-parer-road-airport-west-vic-3042,Airport West,852000,14-Nov-2020,4,2,2,613,m2,House,https://www.domain.com.au/126-parer-road-airport-west-vic-3042-2016544210,Air conditioning*-Gas*-Internal Laundry*-Secure Parking*-Fireplace(s)*,1.3-3-0.7,3,Nov/2020/852000.0/SOLD,0
38-thomas-street-airport-west-vic-3042,Airport West,1090000,13-Nov-2020,4,3,2,315,m2,House,https://www.domain.com.au/38-thomas-street-airport-west-vic-3042-2016286507,Balcony-Courtyard-Fully fenced-Outdoor Entertainment Area-Remote Garage-Secure Parking-Alarm System-Built in wardrobes-Dishwasher-Floorboards-Intercom-Rumpus Room-Study-Ducted Heating-Evaporative Cooling-Water Tank,1.3-1.2-2.8,3,Nov/2020/1090000.0/SOLD-Apr/2018/893000.0/SOLD,1
38a-thomas-street-airport-west-vic-3042,Airport West,1110000,12-Jun-2020,4,3,2,342,m2,House,https://www.domain.com.au/38a-thomas-street-airport-west-vic-3042-2016196271,Balcony-Courtyard-Fully fenced-Outdoor Entertainment Area-Remote Garage-Secure Parking-Alarm System-Built in wardrobes-Dishwasher-Floorboards-Intercom-Rumpus Room-Study-Ducted Heating-Evaporative Cooling-Water Tank,1.3-1.2-2.8,3,May/2020/1110000.0/SOLD,1
