address,suburb,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,built_in_wardrobes
15b-nocton-street-reservoir-vic-3073,Reservoir,1312000,14-Aug-2021,4,3,2,290,m2,House,https://www.domain.com.au/15b-nocton-street-reservoir-vic-3073-2017098254,Internal Laundry*-Secure Parking*-Dishwasher*-Garden*-Air conditioning-Built in wardrobes-Alarm System-Ensuite-Ducted Heating-Study,0.5-2.2-4.4,3,Aug/2021/1312000.0/SOLD,1
94-winter-crescent-reservoir-vic-3073,Reservoir,1356000,14-Aug-2021,4,2,2,628,m2,House,https://www.domain.com.au/94-winter-crescent-reservoir-vic-3073-2017117113,Internal Laundry*-Secure Parking*-Fireplace(s)*-Heating*-Dishwasher*-Garden*,0.6-0.9-0.6,3,Aug/2021/1356000.0/SOLD-Sep/2000/130000.0/SOLD,0
22-don-street-reservoir-vic-3073,Reservoir,1465000,03-Jul-2021,4,1,1,1364,m2,House,https://www.domain.com.au/22-don-street-reservoir-vic-3073-2017057452,Internal Laundry*-Secure Parking*-Heating*-Garden*-Balcony / Deck*,0.8-1.9-1.1,3,Jul/2021/1465000.0/SOLD-Feb/1984/122500.0/SOLD,0
29-dundee-street-reservoir-vic-3073,Reservoir,1330000,30-Jun-2021,4,2,7,837,m2,House,https://www.domain.com.au/29-dundee-street-reservoir-vic-3073-2017072131,Swimming Pool*-Heating*-Balcony / Deck*,0.3-1.8-0.2,3,Jun/2021/1330000.0/SOLD-Sep/1995/81000.0/SOLD,0
21-vale-street-reservoir-vic-3073,Reservoir,1385000,26-Jun-2021,4,2,2,549,m2,House,https://www.domain.com.au/21-vale-street-reservoir-vic-3073-2017030275,Fireplace(s)*-Heating*-Dishwasher*-Study*-Shed*-Solar panels*-Balcony / Deck*,0.5-2.1-4.1,3,Jun/2021/1385000.0/SOLD-Jun/2015/715000.0/SOLD-Oct/2003/394000.0/SOLD,0
17-robb-street-reservoir-vic-3073,Reservoir,1310000,29-May-2021,4,2,3,522,m2,House,https://www.domain.com.au/17-robb-street-reservoir-vic-3073-2016981006,Internal Laundry*-Bath*-Fireplace(s)*-Heating*-Shed*-Garden*-Balcony / Deck*-Close to schools-Close to shops-Close to transport,0.7-1.3-1.4,3,May/2021/1310000.0/SOLD-Dec/2015/550000.0/SOLD,0
14a-summerhill-road-reservoir-vic-3073,Reservoir,862000,29-May-2021,4,2,2,280,m2,House,https://www.domain.com.au/14a-summerhill-road-reservoir-vic-3073-2016980971,Internal Laundry*-Secure Parking*-Heating*-Study*-Close to schools-Close to shops-Close to transport,0.7-0.9-5.8,3,May/2021/862000.0/SOLD-Feb/2011/500888.0/SOLD-Mar/2007/370000.0/SOLD,0
25-rathcown-road-reservoir-vic-3073,Reservoir,940000,22-May-2021,4,1,2,743,m2,House,https://www.domain.com.au/25-rathcown-road-reservoir-vic-3073-2016975094,Air conditioning-Floorboards-Built in wardrobes-Separate Dining Room-Heating-Secure Parking-Shed-Fully fenced-Balcony / Deck-Garden / Courtyard,0.7-1.3-0.6,3,May/2021/940000.0/SOLD,1
8-powell-street-reservoir-vic-3073,Reservoir,1056000,21-May-2021,4,1,2,491,m2,House,https://www.domain.com.au/8-powell-street-reservoir-vic-3073-2016932341,Internal Laundry*-Heating*-Close to schools-Close to shops-Close to transport,0.7-1.6-2.3,3,May/2021/1056000.0/SOLD,0
2-shapiro-court-reservoir-vic-3073,Reservoir,745000,15-May-2021,4,1,2,528,m2,House,https://www.domain.com.au/2-shapiro-court-reservoir-vic-3073-2016944958,Garden*,1-2.5-1.2,3,May/2021/745000.0/SOLD-Jan/1987/88000.0/SOLD-Jun/1984/70000.0/SOLD,0
14-queen-street-reservoir-vic-3073,Reservoir,1213000,08-May-2021,4,1,2,500,m2,House,https://www.domain.com.au/14-queen-street-reservoir-vic-3073-2016931440,Secure Parking*-Heating*,0.4-1.6-4.6,3,May/2021/1213000.0/SOLD,0
33-argyle-street-reservoir-vic-3073,Reservoir,907500,01-May-2021,4,1,2,599,m2,House,https://www.domain.com.au/33-argyle-street-reservoir-vic-3073-2016914301,Secure Parking*-Heating*-Garden*,0.5-2.1-0.5,3,May/2021/907500.0/SOLD,0
33-lloyd-avenue-reservoir-vic-3073,Reservoir,830000,24-Apr-2021,4,1,1,567,m2,House,https://www.domain.com.au/33-lloyd-avenue-reservoir-vic-3073-2016902666,Internal Laundry*-Pets Allowed*-Secure Parking*-Heating*-Garden*-Close to schools-Close to shops-Close to transport,1-1-0.5,3,Apr/2021/830000.0/SOLD,0
