address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory,heating,air_con,internal_laundry,built_in_wardrobes,secure_parking,study,close_to_shops,close_to_transport,close_to_schools,split_system,fully_fenced,solar_panels,dishwasher,garage,alarm,garden,deck,balcony,pool,spa
25-buckland-crescent-keilor-vic-3036,1403000,26-Jun-2021,4,2,3,1164,m2,House,https://www.domain.com.au/25-buckland-crescent-keilor-vic-3036-2017036980,,1-1.3-4.1,3,Jun/2021/1403000.0/SOLD-Apr/2000/343000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-augustines-way-keilor-vic-3036,1450000,24-Jun-2021,4,2,2,649,m2,House,https://www.domain.com.au/23-augustines-way-keilor-vic-3036-2016992840,Secure Parking*-Garden*-Ensuite,0.9-1.2-5.1,3,Jun/2021/1450000.0/SOLD-Aug/1990/290000.0/SOLD-Jul/1980/100000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7-watson-rise-keilor-vic-3036,4000000,10-Jun-2021,4,5,8,1302,m2,House,https://www.domain.com.au/7-watson-rise-keilor-vic-3036-2016662425,Air conditioning-Floorboards-Alarm System-Built in wardrobes-Fireplace(s)-Separate Dining Room-Secure Parking-Balcony / Deck-Swimming Pool-Bungalow,0.6-1.8-4.2,3,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
8-albatross-court-keilor-vic-3036,883500,10-May-2021,4,1,1,675,m2,House,https://www.domain.com.au/8-albatross-court-keilor-vic-3036-2016930640,Secure Parking*-Balcony / Deck*-Dishwasher-Built in wardrobes-Floorboards-Ducted Heating-Evaporative Cooling-Alarm-Fully fenced,1-1.2-4.2,3,May/2021/883500.0/SOLD-Sep/1993/140000.0/SOLD,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0
18-culgoa-court-keilor-vic-3036,795000,23-Apr-2021,4,2,2,606,m2,House,https://www.domain.com.au/18-culgoa-court-keilor-vic-3036-2016902201,Internal Laundry*-Secure Parking*-Bath*-Heating*-Garden*-Balcony / Deck*,1-1.2-4.8,3,Apr/2021/795000.0/SOLD,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
25-faye-crescent-keilor-vic-3036,1600000,20-Apr-2021,4,2,3,1000,m2,House,https://www.domain.com.au/25-faye-crescent-keilor-vic-3036-2016866244,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Security Alarm-Garden-Secure Parking-Floorboards-Formal Lounge-Separate Dining-Built in Spa-Large undercover entertainment area,0.8-1.6-5,3,Apr/2021/1600000.0/SOLD-Apr/1997/115000.0/SOLD,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
27-feathertop-drive-keilor-vic-3036,1050000,08-Jan-2021,4,3,2,661,m2,House,https://www.domain.com.au/27-feathertop-drive-keilor-vic-3036-2016648472,Gas*-Internal Laundry*-Secure Parking*-Heating*-Garden*-Balcony / Deck*-Swimming Pool-Study,0.6-1.9-4.1,3,Jan/2021/1050000.0/SOLD-Apr/2001/380000.0/SOLD-Mar/1999/400000.0/SOLD,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0
1-samari-close-keilor-vic-3036,775000,04-Jan-2021,4,2,2,654,m2,House,https://www.domain.com.au/1-samari-close-keilor-vic-3036-2016689539,Garden*-Ensuite-Built in wardrobes-Air-Conditioner-Ducted Heating-Shed,1.1-1.3-4,3,Dec/2020/775000.0/SOLD-Jul/1991/110000.0/SOLD-Sep/1987/101000.0/SOLD,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16-culgoa-court-keilor-vic-3036,675000,21-Dec-2020,4,2,2,536,m2,House,https://www.domain.com.au/16-culgoa-court-keilor-vic-3036-2016637601,Garden*-Built in wardrobes-Close to schools-Close to shops-Close to transport-Secure Parking-Floorboards-Formal Lounge,1-1.2-4.8,3,Dec/2020/675000.0/SOLD,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0
40-burrowye-crescent-keilor-vic-3036,800000,06-Aug-2020,4,2,3,646,m2,House,https://www.domain.com.au/40-burrowye-crescent-keilor-vic-3036-2016255859,Internal Laundry*-Secure Parking*-Heating*-Dishwasher*-Study*-Shed*-Garden*,0.6-0.8-5,3,Dec/1997/82500.0/SOLD-Jun/1994/65000.0/SOLD-Jul/1989/77500.0/SOLD,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
