"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
house-2/26-edmonds-street-diamond-creek-vic-3089,915000,23-Oct-2021,2,2,1,484,m2,House,https://www.domain.com.au/house-2-26-edmonds-street-diamond-creek-vic-3089-2017294032,Air conditioning*-Internal Laundry*-Heating*-Balcony / Deck*,0.4-1.8-1.1,3,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
2/24-bruce-street-diamond-creek-vic-3089,730000,18-Oct-2021,2,1,1,370,m2,House,https://www.domain.com.au/2-24-bruce-street-diamond-creek-vic-3089-2017283442,Built in wardrobes*-Heating*-Balcony / Deck*,0.4-0.5-0.9,3,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
5-norma-street-diamond-creek-vic-3089,780000,30-Aug-2021,2,1,2,573,m2,House,https://www.domain.com.au/5-norma-street-diamond-creek-vic-3089-2017171894,,0.7-1.2-0.6,3,Aug/2021/780000.0/SOLD-Jun/1998/144000.0/SOLD-Jun/1994/130000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-challenger-street-diamond-creek-vic-3089,761500,23-Aug-2021,2,1,1,523,m2,House,https://www.domain.com.au/11-challenger-street-diamond-creek-vic-3089-2017156787,,0.9-1-0.9,3,Aug/2021/761500.0/SOLD-Dec/1976/32500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-bage-street-diamond-creek-vic-3089,535000,21-Mar-2020,2,1,1,300,m2,House,https://www.domain.com.au/18-bage-street-diamond-creek-vic-3089-2016103963,,0.3-1.5-0.8,3,Mar/2020/535000.0/SOLD-Nov/2007/300000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429-ryans-road-diamond-creek-vic-3089,635000,02-Mar-2020,2,1,2,642,m2,House,https://www.domain.com.au/429-ryans-road-diamond-creek-vic-3089-2016064338,Balcony-Deck-Fully fenced-Floorboards-Ducted Heating-Air conditioning,1-1-0.9,3,Feb/2020/635000.0/SOLD-May/2016/480000.0/SOLD-May/2003/192000.0/SOLD,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
lot-4/37-phipps-crescent-diamond-creek-vic-3089,600000,27-Nov-2018,2,2,1,181,m2,House,https://www.domain.com.au/lot-4-37-phipps-crescent-diamond-creek-vic-3089-2014765416,,0.5-0.7-0.9,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-wensley-street-diamond-creek-vic-3089,579900,24-Aug-2018,2,1,1,-1,None,House,https://www.domain.com.au/16-wensley-street-diamond-creek-vic-3089-2014533875,Courtyard-Remote Garage-Fully fenced-Built in wardrobes-Ducted Heating,0.7-0.8-0.5,3,Aug/2018/579000.0/SOLD-Jun/2011/406000.0/SOLD-Jul/2004/256000.0/SOLD,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
5-dering-street-diamond-creek-vic-3089,646000,14-Aug-2018,2,1,1,342,m2,House,https://www.domain.com.au/5-dering-street-diamond-creek-vic-3089-2014512572,,0.7-1.3-0.7,3,Sep/2018/646000.0/SOLD-Oct/2013/436000.0/SOLD-Aug/2009/362000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-ryan-street-diamond-creek-vic-3089,665000,05-Jul-2018,2,1,-1,605,m2,House,https://www.domain.com.au/10-ryan-street-diamond-creek-vic-3089-2014448975,,0.3-1.3-0.5,3,Jul/2018/665000.0/SOLD-Aug/2012/378000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-ryan-street-diamond-creek-vic-3089,630000,02-Jun-2018,2,1,1,338,m2,House,https://www.domain.com.au/13-ryan-street-diamond-creek-vic-3089-2014384647,,0.4-1.2-0.5,3,Jun/2018/630000.0/SOLD-Nov/2003/249050.0/SOLD-Jun/1995/115000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/10-broad-gully-road-diamond-creek-vic-3089,622000,28-May-2018,2,1,2,-1,None,House,https://www.domain.com.au/11-10-broad-gully-road-diamond-creek-vic-3089-2014369080,,0.3-1.5-0.8,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-stone-street-diamond-creek-vic-3089,650000,23-May-2018,2,1,-1,560,m2,House,https://www.domain.com.au/15-stone-street-diamond-creek-vic-3089-2014331030,Deck-Fully fenced-Open Spaces-Workshop-Floorboards-Built in wardrobes-Ducted Heating,0.6-1.5-1.2,3,Jun/2018/650000.0/SOLD-Jul/2014/400000.0/SOLD,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
1/37-phipps-crescent-diamond-creek-vic-3089,512000,24-Feb-2018,2,1,1,-1,None,House,https://www.domain.com.au/1-37-phipps-crescent-diamond-creek-vic-3089-2014050120,,0.5-0.7-0.9,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1a-fraser-street-diamond-creek-vic-3089,598000,09-Dec-2017,2,1,1,355,m2,House,https://www.domain.com.au/1a-fraser-street-diamond-creek-vic-3089-2014007581,,0.7-1-0.5,3,Dec/2017/598000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55-broad-gully-road-diamond-creek-vic-3089,635000,17-Oct-2017,2,1,-1,691,m2,House,https://www.domain.com.au/55-broad-gully-road-diamond-creek-vic-3089-2013902136,,0.4-1.2-0.5,3,Oct/2017/635000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-bage-street-diamond-creek-vic-3089,631000,25-Aug-2017,2,2,1,552,m2,House,https://www.domain.com.au/3-bage-street-diamond-creek-vic-3089-2013780232,,0.4-1.5-0.9,3,Dec/2017/631000.0/SOLD-Jan/1992/121000.0/SOLD-Jan/1980/35750.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-phipps-crescent-diamond-creek-vic-3089,597000,29-Jul-2017,2,1,-1,344,m2,House,https://www.domain.com.au/31-phipps-crescent-diamond-creek-vic-3089-2013708677,,0.5-0.6-0.8,3,Jul/2017/597000.0/SOLD-Sep/2013/400000.0/SOLD-Nov/2012/455000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/47-haley-street-diamond-creek-vic-3089,460000,10-Nov-2016,2,1,2,-1,None,House,https://www.domain.com.au/1-47-haley-street-diamond-creek-vic-3089-2013160325,Shed-Gas Heating-Built in wardrobes,0.6-0.8-0.4,3,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407-ryans-road-diamond-creek-vic-3089,480000,03-Sep-2016,2,1,2,833,m2,House,https://www.domain.com.au/407-ryans-road-diamond-creek-vic-3089-2012976906,,0.9-1.1-0.8,3,Sep/2016/480000.0/SOLD-Sep/2007/314000.0/SOLD-Jun/2004/245000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39-phipps-crescent-diamond-creek-vic-3089,400000,02-Aug-2016,2,1,1,-1,None,House,https://www.domain.com.au/39-phipps-crescent-diamond-creek-vic-3089-2012921344,,0.5-0.7-0.9,3,Aug/2016/290.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415-ryans-road-diamond-creek-vic-3089,422500,16-Sep-2015,2,1,-1,607,m2,House,https://www.domain.com.au/415-ryans-road-diamond-creek-vic-3089-2012230541,Floorboards-Split System AirCon-Dishwasher-Ducted Heating-Alfresco,0.9-1.1-0.8,3,Sep/2015/422500.0/SOLD-Nov/2008/305000.0/SOLD-Nov/2005/253000.0/SOLD,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
28-wensley-street-diamond-creek-vic-3089,400000,23-Dec-2014,2,1,1,-1,None,House,https://www.domain.com.au/28-wensley-street-diamond-creek-vic-3089-2011573340,,0.6-0.8-0.4,3,Dec/2014/420.0/SOLD-Jan/1997/400000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-kelly-street-diamond-creek-vic-3089,518000,29-Nov-2014,2,2,1,-1,None,House,https://www.domain.com.au/6-kelly-street-diamond-creek-vic-3089-2011561060,,0.5-0.6-0.8,3,Nov/2014/518000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39-phipps-crescent-diamond-creek-vic-3089,292000,08-Nov-2014,2,1,1,450,m2,House,https://www.domain.com.au/39-phipps-crescent-diamond-creek-vic-3089-2011503453,,0.5-0.7-0.9,3,Aug/2016/290.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-challenger-street-diamond-creek-vic-3089,490000,08-Nov-2014,2,1,2,-1,None,House,https://www.domain.com.au/35-challenger-street-diamond-creek-vic-3089-2011489427,Ducted Heating-Floorboards,0.9-1-1,3,Nov/2014/490000.0/SOLD-Apr/1997/140000.0/SOLD-Oct/1993/117000.0/SOLD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/31-haley-street-diamond-creek-vic-3089,420000,04-Oct-2014,2,1,1,-1,None,House,https://www.domain.com.au/6-31-haley-street-diamond-creek-vic-3089-2011417066,,0.7-0.8-0.3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/30-challenger-street-diamond-creek-vic-3089,437000,02-Sep-2014,2,1,1,-1,None,House,https://www.domain.com.au/2-30-challenger-street-diamond-creek-vic-3089-2011380068,Deck-Built in wardrobes-Ducted Heating-Floorboards-Split System Heating,0.9-1-1,3,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
15-stone-street-diamond-creek-vic-3089,400000,15-Jul-2014,2,1,2,560,m2,House,https://www.domain.com.au/15-stone-street-diamond-creek-vic-3089-2011277056,Air conditioning-Built in wardrobes-Close to schools-Close to shops-Close to transport-Formal Lounge-Garden-Floorboards-Separate Dining-Terrace-Balcony-Gas ducted heating-Elevated entertaining deck,0.6-1.5-1.2,3,Jun/2018/650000.0/SOLD-Jul/2014/400000.0/SOLD,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0
9/21-collins-street-diamond-creek-vic-3089,334000,06-Jul-2014,2,1,1,-1,None,House,https://www.domain.com.au/9-21-collins-street-diamond-creek-vic-3089-2011069839,,0.3-1.7-0.9,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-ryan-street-diamond-creek-vic-3089,378000,13-Aug-2012,2,1,-1,-1,None,House,https://www.domain.com.au/10-ryan-street-diamond-creek-vic-3089-2009783305,,0.3-1.3-0.5,3,Jul/2018/665000.0/SOLD-Aug/2012/378000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32-gregg-street-diamond-creek-vic-3089,360000,19-Jan-2010,2,1,-1,-1,None,House,https://www.domain.com.au/32-gregg-street-diamond-creek-vic-3089-2008126067,,0.4-0.6-0.5,3,Jan/2010/360000.0/SOLD-May/2009/300.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72-broadgully-road-diamond-creek-vic-3089,374500,04-Dec-2009,2,1,-1,880,m2,House,https://www.domain.com.au/72-broadgully-road-diamond-creek-vic-3089-2008089075,,0.6-0.8-0.2,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2-challenger-street-diamond-creek-vic-3089,361000,02-Oct-2009,2,1,1,-1,None,House,https://www.domain.com.au/2-challenger-street-diamond-creek-vic-3089-2007970272,,0.9-1.1-0.8,3,Sep/2009/361000.0/SOLD-Dec/2007/270000.0/SOLD-Dec/1992/100000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32-bruce-street-diamond-creek-vic-3089,330000,20-Nov-2008,2,1,-1,-1,None,House,https://www.domain.com.au/32-bruce-street-diamond-creek-vic-3089-2007473244,,0.3-0.4-0.9,3,May/2013/435000.0/SOLD-Nov/2008/330000.0/SOLD-Jul/2003/296600.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121-lambert-street-diamond-creek-vic-3089,865000,06-Dec-2021,3,1,3,690,m2,House,https://www.domain.com.au/121-lambert-street-diamond-creek-vic-3089-2017413467,,0.6-1.8-1.2,3,Dec/2021/865000.0/SOLD-Apr/2001/212750.0/SOLD-Aug/1989/125000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96-old-diamond-creek-road-diamond-creek-vic-3089,1020000,04-Dec-2021,3,2,2,958,m2,House,https://www.domain.com.au/96-old-diamond-creek-road-diamond-creek-vic-3089-2017416350,,0.8-1.2-1.1,3,Dec/2021/1020000.0/SOLD-May/2002/209500.0/SOLD-Jan/1998/83000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43-broad-gully-road-diamond-creek-vic-3089,739000,29-Nov-2021,3,1,1,585,m2,House,https://www.domain.com.au/43-broad-gully-road-diamond-creek-vic-3089-2017419805,,0.3-1.3-0.6,3,Nov/2021/739000.0/SOLD-Mar/1994/105150.0/SOLD-May/1988/120000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-clyde-street-diamond-creek-vic-3089,1032500,20-Nov-2021,3,2,3,653,m2,House,https://www.domain.com.au/23-clyde-street-diamond-creek-vic-3089-2017372190,,0.1-1.5-0.8,3,Nov/2021/1032500.0/SOLD-Oct/2000/225000.0/SOLD-Apr/1999/186000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-bishop-avenue-diamond-creek-vic-3089,910000,10-Nov-2021,3,1,1,549,m2,House,https://www.domain.com.au/16-bishop-avenue-diamond-creek-vic-3089-2017361050,Secure Parking*-Fireplace(s)*-Heating*-Balcony / Deck*,0.2-0.3-0.8,3,Nov/2021/910000.0/SOLD-Feb/2016/600000.0/SOLD-Jul/1994/147500.0/SOLD,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15-strathaird-close-diamond-creek-vic-3089,950000,09-Nov-2021,3,2,2,648,m2,House,https://www.domain.com.au/15-strathaird-close-diamond-creek-vic-3089-2017332198,,0.4-0.5-0.7,3,Nov/2021/950000.0/SOLD-May/2013/520000.0/SOLD-Nov/1999/222500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
