"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory","heating","air_con","internal_laundry","built_in_wardrobes","secure_parking","study","close_to_shops","close_to_transport","close_to_schools","split_system","fully_fenced","solar_panels","dishwasher","garage","alarm","garden","deck","balcony","pool","spa"
1-&-3-blossom-park-drive-mill-park-vic-3082,1815000,07-May-2011,4,2,-1,-1,None,House,https://www.domain.com.au/1-3-blossom-park-drive-mill-park-vic-3082-2008933580,Air conditioning-4 Builtin wardrobes,0.5-1.1-1.3,3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-honeysuckle-court-mill-park-vic-3082,493500,07-May-2011,4,2,2,-1,None,House,https://www.domain.com.au/4-honeysuckle-court-mill-park-vic-3082-2008921322,Air conditioning-3 Builtin wardrobes-Secure Parking,0.5-1.5-2.9,3,Mar/2019/640000.0/SOLD-May/2017/430.0/SOLD,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35-centenary-drive-mill-park-vic-3082,450000,16-Apr-2011,4,2,2,-1,None,House,https://www.domain.com.au/35-centenary-drive-mill-park-vic-3082-2008903828,,0.8-1.1-4.5,3,Apr/2011/450000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-ancona-drive-mill-park-vic-3082,726000,07-Apr-2011,4,2,2,-1,None,House,https://www.domain.com.au/20-ancona-drive-mill-park-vic-3082-2008861073,Air conditioning-4 Builtin wardrobes-Secure Parking,1.3-1.6-1.9,3,Apr/2011/726000.0/SOLD-Sep/2001/296600.0/SOLD,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88-stockdale-way-mill-park-vic-3082,790000,04-Mar-2011,4,2,2,-1,None,House,https://www.domain.com.au/88-stockdale-way-mill-park-vic-3082-2008654829,,0.9-1.9-2.3,3,Sep/2015/790000.0/SOLD-Mar/2011/790000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32-mill-park-drive-mill-park-vic-3082,435000,15-Feb-2011,4,2,-1,640,m2,House,https://www.domain.com.au/32-mill-park-drive-mill-park-vic-3082-2008810865,Ensuite(s),0.2-1.4-4.7,3,May/2020/730000.0/SOLD-Feb/2011/435000.0/SOLD-Aug/2008/315000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-prince-of-wales-avenue-mill-park-vic-3082,420000,18-Dec-2010,4,2,6,-1,None,House,https://www.domain.com.au/27-prince-of-wales-avenue-mill-park-vic-3082-2008694442,2 Builtin wardrobes-Secure Parking,0.6-1-2.9,3,Dec/2010/420000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83-grenda-drive-mill-park-vic-3082,391500,20-Nov-2010,4,2,-1,-1,None,House,https://www.domain.com.au/83-grenda-drive-mill-park-vic-3082-2008650180,,0.6-0.9-2.7,3,Nov/2010/395.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-fraser-close-mill-park-vic-3082,421250,01-Nov-2010,4,2,2,642,m2,House,https://www.domain.com.au/8-fraser-close-mill-park-vic-3082-2008594824,Ensuite(s),0.4-0.7-3.5,3,Jul/2016/585000.0/SOLD-Nov/2010/421250.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-acmena-court-mill-park-vic-3082,565500,30-Oct-2010,4,2,2,-1,None,House,https://www.domain.com.au/8-acmena-court-mill-park-vic-3082-2008588112,,0.4-1.1-1.4,3,Oct/2010/565500.0/SOLD-Dec/2002/312000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-tenterden-place-mill-park-vic-3082,465500,23-Oct-2010,4,2,4,-1,None,House,https://www.domain.com.au/6-tenterden-place-mill-park-vic-3082-2008587164,Air conditioning-4 Builtin wardrobes-Secure Parking,0.5-1.4-3.2,3,Oct/2010/465500.0/SOLD-Jan/1998/143000.0/SOLD-Jun/1990/60400.0/SOLD,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49-mill-park-drive-mill-park-vic-3082,451000,04-Sep-2010,4,2,2,-1,None,House,https://www.domain.com.au/49-mill-park-drive-mill-park-vic-3082-2008515764,,0.4-1.5-4.3,3,Sep/2010/450.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90-redleap-avenue-mill-park-vic-3082,425000,19-Jun-2010,4,2,2,-1,None,House,https://www.domain.com.au/90-redleap-avenue-mill-park-vic-3082-2008395148,,0.5-1.2-4.6,3,Jun/2010/425000.0/SOLD-Apr/1996/134500.0/SOLD-Mar/1992/140000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-doubell-court-mill-park-vic-3082,375000,25-May-2010,4,2,2,-1,None,House,https://www.domain.com.au/14-doubell-court-mill-park-vic-3082-2008349566,,0.6-0.6-3.8,3,Mar/2019/680000.0/SOLD-May/2010/375000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-freeman-street-mill-park-vic-3082,415000,08-May-2010,4,2,-1,538,m2,House,https://www.domain.com.au/27-freeman-street-mill-park-vic-3082-2008307541,Ensuite(s),0.3-0.9-3.4,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16-langvale-court-mill-park-vic-3082,387500,10-Apr-2010,4,2,2,-1,None,House,https://www.domain.com.au/16-langvale-court-mill-park-vic-3082-2008270363,,0.4-1.3-3.7,3,Apr/2010/320.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10-callan-court-mill-park-vic-3082,510000,27-Mar-2010,4,2,2,-1,None,House,https://www.domain.com.au/10-callan-court-mill-park-vic-3082-2008247238,,0.6-1.5-3.8,3,Mar/2010/510000.0/SOLD-Dec/2005/362000.0/SOLD-Aug/1997/60000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-atlanta-close-mill-park-vic-3082,489000,06-Mar-2010,4,2,2,-1,None,House,https://www.domain.com.au/4-atlanta-close-mill-park-vic-3082-2008214777,,1.6-1.6-5.6,3,Oct/2018/867000.0/SOLD-Mar/2014/542000.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-templeton-drive-mill-park-vic-3082,775000,05-Mar-2010,4,3,2,-1,None,House,https://www.domain.com.au/5-templeton-drive-mill-park-vic-3082-2008268161,,1-1.8-2.1,3,Sep/2014/735000.0/SOLD-Jan/2012/667500.0/SOLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8-golflinks-drive-mill-park-vic-3082,458000,24-Dec-2009,4,2,2,-1,None,House,https://www.domain.com.au/8-golflinks-drive-mill-park-vic-3082-2008107721,Secure Parking,0.5-1.2-3,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5-shannon-place-mill-park-vic-3082,440000,23-Dec-2009,4,3,3,-1,None,House,https://www.domain.com.au/5-shannon-place-mill-park-vic-3082-2008137747,Air conditioning-3 Builtin wardrobes-Secure Parking,0.4-1.6-4.8,3,Aug/2020/810000.0/SOLD-Dec/2009/440000.0/SOLD,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-roycroft-ave-mill-park-vic-3082,400000,16-Dec-2009,4,2,2,-1,None,House,https://www.domain.com.au/22-roycroft-ave-mill-park-vic-3082-2008121532,,0.6-0.7-3.7,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54-wagstaff-drive-mill-park-vic-3082,577500,12-Dec-2009,4,2,2,-1,None,House,https://www.domain.com.au/54-wagstaff-drive-mill-park-vic-3082-2008129150,Secure Parking,0.7-1.5-1.9,3,Oct/2020/850000.0/SOLD-Dec/2009/577500.0/SOLD-Apr/1997/72950.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11-ester-drive-mill-park-vic-3082,400000,24-Oct-2009,4,2,2,529,m2,House,https://www.domain.com.au/11-ester-drive-mill-park-vic-3082-2008054640,Secure Parking,0.9-1.8-2.7,3,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59-telopea-crescent-mill-park-vic-3082,430000,21-Oct-2009,4,2,2,-1,None,House,https://www.domain.com.au/59-telopea-crescent-mill-park-vic-3082-2008009939,Air conditioning-3 Builtin wardrobes-Secure Parking,0.5-0.9-5.1,3,Dec/2009/430000.0/SOLD-Dec/2005/390000.0/SOLD,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18-brabham-drive-mill-park-vic-3082,540000,20-Oct-2009,4,2,2,717,m2,House,https://www.domain.com.au/18-brabham-drive-mill-park-vic-3082-2007959749,Dishwasher-Inground Salt Chlorinated Pool-Pergola-Rumpus/theatre Room-Study,1-1.5-4.9,3,Oct/2009/540000.0/SOLD-Jan/1990/235000.0/SOLD-May/1989/130000.0/SOLD,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
mill-park-vic-3082,720000,19-Oct-2009,4,2,3,688,m2,House,https://www.domain.com.au/mill-park-vic-3082-2008031812,Designer Kitchen-Heated Inground Pool-Large Rumpus/billiard Room-Study-Theatre Room,1.1-1.9-2.1,3,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44-heritage-drive-mill-park-vic-3082,407000,14-Oct-2009,4,2,2,-1,None,House,https://www.domain.com.au/44-heritage-drive-mill-park-vic-3082-2008009936,Secure Parking,1.4-2-3.3,3,Oct/2009/407000.0/SOLD-Jan/1998/55000.0/SOLD-Feb/1995/48000.0/SOLD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
