"address","price","date","bedrooms","bathrooms","parking_spaces","land_size","land_size_unit","propertyType","url","houseFeatures","schoolsDistance","schoolsCount","salesHistory"
13a-barber-drive-hoppers-crossing-vic-3029,357500,08-Mar-2016,1,1,-1,-1,None,House,https://www.domain.com.au/13a-barber-drive-hoppers-crossing-vic-3029-2012612703,,0.7-1.2-0.9,3,Apr/2016/357500.0/SOLD
12-coolabah-cres-hoppers-crossing-vic-3029,160000,31-Mar-2009,1,1,-1,-1,None,House,https://www.domain.com.au/12-coolabah-cres-hoppers-crossing-vic-3029-2007679507,,1-1.6-1.5,3,
143a-mossfiel-drive-hoppers-crossing-vic-3029,470000,27-Nov-2021,2,1,1,344,m2,House,https://www.domain.com.au/143a-mossfiel-drive-hoppers-crossing-vic-3029-2017385980,Broadband internet access-Fully fenced-Balcony / Deck-Outdoor entertainment area-Undercover outdoor area-Low maintece-Smoke Alarms-Garage Remote-Level Block-Close to schools,0.7-0.7-0.9,3,Nov/2021/470000.0/SOLD
1/13-nettlefold-avenue-hoppers-crossing-vic-3029,441000,08-Nov-2021,2,1,1,239,m2,House,https://www.domain.com.au/1-13-nettlefold-avenue-hoppers-crossing-vic-3029-2017313525,,0.6-0.7-0.9,3,
18-mckellar-avenue-hoppers-crossing-vic-3029,560000,06-Nov-2021,2,1,2,-1,None,House,https://www.domain.com.au/18-mckellar-avenue-hoppers-crossing-vic-3029-2017362569,Heating*,0.6-0.7-1.1,3,Nov/2021/560000.0/SOLD-Oct/2017/320.0/SOLD
19a-reserve-road-hoppers-crossing-vic-3029,410000,14-Oct-2021,2,1,2,327,m2,House,https://www.domain.com.au/19a-reserve-road-hoppers-crossing-vic-3029-2017291724,Built in wardrobes*-Internal Laundry*-Secure Parking*,0.4-1-1.6,3,Oct/2021/410000.0/SOLD-May/2015/245000.0/SOLD
2/22-arundel-court-hoppers-crossing-vic-3029,440000,12-Oct-2021,2,2,2,-1,None,House,https://www.domain.com.au/2-22-arundel-court-hoppers-crossing-vic-3029-2017273762,,0.4-1.3-1.9,3,
3/153-kingston-boulevard-hoppers-crossing-vic-3029,430000,06-Oct-2021,2,1,2,-1,None,House,https://www.domain.com.au/3-153-kingston-boulevard-hoppers-crossing-vic-3029-2017231304,Air conditioning*-Built in wardrobes*-Secure Parking*-Heating*-Garden*,1.6-2.1-3.8,3,
13-the-glades-hoppers-crossing-vic-3029,380000,15-Sep-2021,2,1,1,207,m2,House,https://www.domain.com.au/13-the-glades-hoppers-crossing-vic-3029-2017212428,,0.8-1.4-0.9,3,Sep/2021/380000.0/SOLD-Jan/2015/270000.0/SOLD-Apr/1991/97450.0/SOLD
2/8-westmill-drive-hoppers-crossing-vic-3029,425000,16-Aug-2021,2,2,2,-1,None,House,https://www.domain.com.au/2-8-westmill-drive-hoppers-crossing-vic-3029-2017070021,,0.9-1.9-2.1,3,
2/14-moreton-court-hoppers-crossing-vic-3029,365000,07-Aug-2021,2,1,1,238,m2,House,https://www.domain.com.au/2-14-moreton-court-hoppers-crossing-vic-3029-2017089166,,0.7-1.2-1.2,3,
11b-melaleuca-drive-hoppers-crossing-vic-3029,357000,05-Aug-2021,2,1,2,353,m2,House,https://www.domain.com.au/11b-melaleuca-drive-hoppers-crossing-vic-3029-2017136793,,0.6-1.3-1.9,3,Aug/2021/357000.0/SOLD
2/51-53-pannam-drive-hoppers-crossing-vic-3029,430000,09-Jul-2021,2,1,1,-1,None,House,https://www.domain.com.au/2-51-53-pannam-drive-hoppers-crossing-vic-3029-2016979256,,0.4-0.5-0.9,3,
