,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,163-halsey-road-airport-west-vic-3042,730000,15-Nov-2021,2,1,1,-1,None,House,https://www.domain.com.au/163-halsey-road-airport-west-vic-3042-2017386649,"Gas*-""Dishwasher*""-""Study*""-""Built in wardrobes""-""Split-System Air Conditioning""-""Split-System Heating""",1.4-1.3-3,3,Nov/2021/730000.0/SOLD
1,197a-parer-road-airport-west-vic-3042,695000,08-Nov-2021,2,1,2,313,m2,House,https://www.domain.com.au/197a-parer-road-airport-west-vic-3042-2017392272,,1.2-1.1-2.5,3,Nov/2021/695000.0/SOLD-Aug/2009/380000.0/SOLD
2,1/32-roberts-road-airport-west-vic-3042,580000,20-Oct-2021,2,1,1,-1,None,Villa,https://www.domain.com.au/1-32-roberts-road-airport-west-vic-3042-2017309039,"Built in wardrobes*-""Internal Laundry*""-""Heating*""-""Balcony / Deck*""",1-1-2.1,3,
3,106a-victory-road-airport-west-vic-3042,770000,05-Oct-2021,2,2,1,-1,None,House,https://www.domain.com.au/106a-victory-road-airport-west-vic-3042-2017275058,"Internal Laundry*-""Secure Parking*""-""Bath*""-""Heating*""-""Dishwasher*""-""Study*""",1.5-3.2-0.9,3,Oct/2021/770000.0/SOLD-Feb/2014/165000.0/SOLD-May/2011/165000.0/SOLD
4,78-bowes-avenue-airport-west-vic-3042,1099000,11-Sep-2021,2,1,1,696,m2,House,https://www.domain.com.au/78-bowes-avenue-airport-west-vic-3042-2017215776,"Gas*-""Internal Laundry*""-""Secure Parking*""-""Dishwasher*""-""Shed*""-""Garden*""",0.7-2.4-0.6,3,Sep/2021/1099000.0/SOLD
5,7/39-hillside-grove-airport-west-vic-3042,605000,17-Jul-2021,2,2,1,-1,None,House,https://www.domain.com.au/7-39-hillside-grove-airport-west-vic-3042-2016998259,,0.5-0.5-1.9,3,
6,2/15-south-road-airport-west-vic-3042,636000,10-Jul-2021,2,1,1,156,m2,House,https://www.domain.com.au/2-15-south-road-airport-west-vic-3042-2017077055,"Gas*-""Internal Laundry*""-""Secure Parking*""-""Bath*""-""Heating*""-""Dishwasher*""",0.9-0.8-2.5,3,
7,139-victory-road-airport-west-vic-3042,955000,05-Jun-2021,2,1,3,613,m2,House,https://www.domain.com.au/139-victory-road-airport-west-vic-3042-2016995157,"Internal Laundry*-""Secure Parking*""-""Fireplace(s)*""-""Garden*""",1.5-3.1-0.8,3,Jun/2021/955000.0/SOLD
8,1/43-45-hart-street-airport-west-vic-3042,620000,01-Jun-2021,2,1,2,-1,None,House,https://www.domain.com.au/1-43-45-hart-street-airport-west-vic-3042-2016986802,,0.7-2.3-0.7,3,
9,26-north-street-airport-west-vic-3042,951000,22-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/26-north-street-airport-west-vic-3042-2016964108,,1.2-1.1-2.8,3,May/2021/951000.0/SOLD
10,11-walters-avenue-airport-west-vic-3042,1090000,01-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/11-walters-avenue-airport-west-vic-3042-2016909153,,0.7-1.9-1,3,May/2021/300.0/SOLD
11,5/180-parer-road-airport-west-vic-3042,570000,13-Mar-2021,2,1,1,128,m2,House,https://www.domain.com.au/5-180-parer-road-airport-west-vic-3042-2016809630,"Built in wardrobes*-""Internal Laundry*""-""Heating*""-""Dishwasher*""-""Garden*""",1.4-1.3-2.9,3,
12,25-matthews-ave-airport-west-vic-3042,685000,26-Feb-2021,2,1,1,270,m2,House,https://www.domain.com.au/25-matthews-ave-airport-west-vic-3042-2016669261,"Outdoor Entertainment Area-""Courtyard""-""Secure Parking""-""Deck""-""Alarm""-""Shed""-""Fully fenced""-""Cable or Satellite""-""Open Fire Place""-""Broadband Connection""-""Dishwasher""-""Floorboards""-""Built in wardrobes""-""Air conditioning""-""Split System Air Conditioning""-""Ducted Heating""-""Evaporative Cooling""",1-2.2-1.1,3,
13,3/68-king-street-airport-west-vic-3042,572000,12-Dec-2020,2,1,1,-1,None,Villa,https://www.domain.com.au/3-68-king-street-airport-west-vic-3042-2016643824,"Air conditioning*-""Built in wardrobes*""-""Gas*""-""Internal Laundry*""-""Secure Parking*""-""Heating*""-""Dishwasher*""",1-2.8-0.4,3,
14,3-kendale-street-airport-west-vic-3042,570000,17-Nov-2020,2,1,2,-1,None,House,https://www.domain.com.au/3-kendale-street-airport-west-vic-3042-2016541750,"Gas*-""Internal Laundry*""-""Secure Parking*""-""Bath*""-""Heating*""-""Dishwasher*""-""Garden*""",0.3-1.8-0.8,3,Nov/2020/570000.0/SOLD-Dec/2015/410.0/SOLD
15,68-marshall-road-airport-west-vic-3042,680000,05-Aug-2020,2,1,1,211,m2,House,https://www.domain.com.au/68-marshall-road-airport-west-vic-3042-2016374687,,1.7-3.4-1,3,Aug/2020/680000.0/SOLD-Oct/2018/620000.0/SOLD-Aug/2012/470000.0/SOLD
16,25-hart-street-airport-west-vic-3042,880000,23-Jul-2020,2,1,3,697,m2,House,https://www.domain.com.au/25-hart-street-airport-west-vic-3042-2016328150,,0.8-2.4-0.8,3,
17,2-west-court-airport-west-vic-3042,650000,04-Jun-2020,2,1,1,-1,None,House,https://www.domain.com.au/2-west-court-airport-west-vic-3042-2016245665,,1.1-1-2.5,3,Jun/2020/650000.0/SOLD-Sep/2012/411500.0/SOLD-Mar/2007/271100.0/SOLD
18,145-mcnamara-avenue-airport-west-vic-3042,580500,01-Apr-2020,2,1,1,255,m2,House,https://www.domain.com.au/145-mcnamara-avenue-airport-west-vic-3042-2016119289,"Secure Parking-""Fully fenced""-""Open Spaces""-""Split System AirCon""-""Built in wardrobes""-""Ducted Heating""-""Alarm System""",1.3-3-0.6,3,Mar/2020/580500.0/SOLD
19,78-mcnamara-avenue-airport-west-vic-3042,797000,22-Feb-2020,2,1,1,563,m2,House,https://www.domain.com.au/78-mcnamara-avenue-airport-west-vic-3042-2016035065,,1.1-2.8-0.4,3,Feb/2020/797000.0/SOLD
20,2/58-mcintosh-street-airport-west-vic-3042,540000,14-Nov-2019,2,1,1,-1,None,House,https://www.domain.com.au/2-58-mcintosh-street-airport-west-vic-3042-2015841717,,1.3-3-0.6,3,
21,56-roberts-road-airport-west-vic-3042,575000,29-Jul-2019,2,1,1,-1,None,House,https://www.domain.com.au/56-roberts-road-airport-west-vic-3042-2015283192,"Internal Laundry-""Gas""-""Fully fenced""",0.6-0.6-2.2,3,Mar/2020/630000.0/SOLD-Jul/2019/575000.0/SOLD-Jun/2010/460000.0/SOLD
22,35-earl-street-airport-west-vic-3042,800000,22-May-2019,2,1,1,690,m2,House,https://www.domain.com.au/35-earl-street-airport-west-vic-3042-2014974576,,0.9-2.5-0.7,3,May/2019/800000.0/SOLD
23,8a-south-road-airport-west-vic-3042,545000,13-Apr-2019,2,1,1,-1,None,House,https://www.domain.com.au/8a-south-road-airport-west-vic-3042-2015024318,,0.9-0.8-2.6,3,Apr/2019/410.0/SOLD-Apr/2008/545000.0/SOLD
24,3/28-green-street-airport-west-vic-3042,595000,17-Oct-2018,2,1,1,-1,None,House,https://www.domain.com.au/3-28-green-street-airport-west-vic-3042-2014640838,,0.9-2.5-0.7,3,
25,3/69-bowes-avenue-airport-west-vic-3042,570000,10-Oct-2018,2,1,1,-1,None,House,https://www.domain.com.au/3-69-bowes-avenue-airport-west-vic-3042-2014601556,,0.6-2.3-0.6,3,
26,2/34-elstone-avenue-airport-west-vic-3042,601000,11-Aug-2018,2,1,1,-1,None,House,https://www.domain.com.au/2-34-elstone-avenue-airport-west-vic-3042-2014506051,,0.9-2.2-1.2,3,
27,2/7-roberts-road-airport-west-vic-3042,583500,19-May-2018,2,1,1,169,m2,Villa,https://www.domain.com.au/2-7-roberts-road-airport-west-vic-3042-2014329358,,0.7-2.4-0.4,3,
28,2/29-walters-avenue-airport-west-vic-3042,700000,27-Feb-2018,2,1,2,-1,None,Villa,https://www.domain.com.au/2-29-walters-avenue-airport-west-vic-3042-2014140651,,0.7-2-0.9,3,
29,123a-parer-road-airport-west-vic-3042,572000,24-Feb-2018,2,1,1,-1,None,Villa,https://www.domain.com.au/123a-parer-road-airport-west-vic-3042-2014138415,"North Facing-""Fully fenced""",1.3-1.2-2.9,3,Feb/2018/572000.0/SOLD-Dec/2005/253000.0/SOLD
30,2/6-etzel-street-airport-west-vic-3042,500000,17-Feb-2018,2,1,1,-1,None,Villa,https://www.domain.com.au/2-6-etzel-street-airport-west-vic-3042-2014119281,,1-0.9-2.7,3,
31,3/53-matthews-avenue-airport-west-vic-3042,618000,13-Feb-2018,2,2,1,-1,None,Villa,https://www.domain.com.au/3-53-matthews-avenue-airport-west-vic-3042-2013967850,,1-2.4-1.1,3,
32,unit-3/58-mcintosh-st-airport-west-vic-3042,538000,29-Dec-2017,2,1,1,-1,None,Villa,https://www.domain.com.au/unit-3-58-mcintosh-st-airport-west-vic-3042-2014021905,Built in wardrobes,1.3-3-0.6,3,
33,50a-grange-road-airport-west-vic-3042,650000,02-Dec-2017,2,2,1,-1,None,Villa,https://www.domain.com.au/50a-grange-road-airport-west-vic-3042-2013990552,,0.5-2.1-0.7,3,
34,32-grange-road-airport-west-vic-3042,628000,25-Nov-2017,2,1,-1,288,m2,House,https://www.domain.com.au/32-grange-road-airport-west-vic-3042-2013960327,,0.5-2-0.8,3,Nov/2017/628000.0/SOLD-Dec/2005/370.0/SOLD
35,3/54-hawker-street-airport-west-vic-3042,495000,18-Nov-2017,2,1,1,-1,None,Villa,https://www.domain.com.au/3-54-hawker-street-airport-west-vic-3042-2013947971,,1.2-2.9-0.6,3,
36,5/98-mcnamara-avenue-airport-west-vic-3042,500000,11-Sep-2017,2,1,-1,-1,None,House,https://www.domain.com.au/5-98-mcnamara-avenue-airport-west-vic-3042-2013257048,,1.2-2.9-0.6,3,
37,3/53-moore-road-airport-west-vic-3042,590000,19-Aug-2017,2,1,1,-1,None,House,https://www.domain.com.au/3-53-moore-road-airport-west-vic-3042-2013580785,,1.8-3.5-1.1,3,
38,46-walters-avenue-airport-west-vic-3042,1050000,03-Jul-2017,2,1,1,-1,None,House,https://www.domain.com.au/46-walters-avenue-airport-west-vic-3042-2013604980,,0.7-2.2-0.9,3,Jun/2017/350.0/SOLD
39,163-halsey-street-airport-west-vic-3042,650000,27-May-2017,2,1,3,-1,None,House,https://www.domain.com.au/163-halsey-street-airport-west-vic-3042-2013554495,"Garden / Courtyard-""Fully fenced""-""Outdoor Entertainment Area""-""Shed""-""Built in wardrobes""-""Dishwasher""-""Floorboards""-""Air conditioning""-""Gas Heating""-""Split-System Air Conditioning""-""Split-System Heating""",1.4-1.3-3,3,
40,92-clydesdale-road-airport-west-vic-3042,670000,01-Apr-2017,2,1,2,-1,None,House,https://www.domain.com.au/92-clydesdale-road-airport-west-vic-3042-2013444512,,1.1-1-2.7,3,Jun/2017/670000.0/SOLD-Jul/2010/330.0/SOLD
41,1/37-hillside-grove-airport-west-vic-3042,600000,07-Mar-2017,2,1,1,-1,None,House,https://www.domain.com.au/1-37-hillside-grove-airport-west-vic-3042-2013339128,"Built in wardrobes-""Balcony""-""Deck""-""Courtyard""-""Fully fenced""-""Outdoor Entertainment Area""-""Remote Garage""-""Secure Parking""-""Dishwasher""-""Floorboards""-""Split-System Air Conditioning""-""Split-System Heating""",0.5-0.5-1.9,3,
42,23-hart-street-airport-west-vic-3042,603000,04-Mar-2017,2,1,1,-1,None,House,https://www.domain.com.au/23-hart-street-airport-west-vic-3042-2013369955,,0.9-2.4-0.8,3,Mar/2017/603000.0/SOLD-Dec/2013/451000.0/SOLD-Sep/1998/150000.0/SOLD
43,138-parer-road-airport-west-vic-3042,582000,25-Feb-2017,2,1,1,-1,None,House,https://www.domain.com.au/138-parer-road-airport-west-vic-3042-2013350716,,1.3-1.2-3,3,Feb/2017/582000.0/SOLD-Apr/2005/295000.0/SOLD-Jan/2001/150000.0/SOLD
44,2/26-cameron-street-airport-west-vic-3042,650000,23-Dec-2016,2,1,1,-1,None,Villa,https://www.domain.com.au/2-26-cameron-street-airport-west-vic-3042-2013297999,"Alarm System-""Courtyard""-""Remote Garage""-""Secure Parking""-""Outdoor Entertaining""-""Shed""-""Fully fenced""-""Floorboards""-""Broadband""-""Built in wardrobes""-""Dishwasher""",0.8-2.3-0.9,3,
45,123-halsey-road-airport-west-vic-3042,510000,01-Sep-2016,2,1,1,-1,None,House,https://www.domain.com.au/123-halsey-road-airport-west-vic-3042-2013001541,"Remote Garage-""Evaporative Cooling""-""Built in wardrobes""-""Dishwasher""-""Ducted Heating""",1.4-1.3-3,3,Aug/2016/510000.0/SOLD-May/2009/426000.0/SOLD-Jun/2008/400000.0/SOLD
46,31-walters-avenue-airport-west-vic-3042,970000,25-Aug-2016,2,1,2,-1,None,House,https://www.domain.com.au/31-walters-avenue-airport-west-vic-3042-2012995599,,0.7-2.1-0.9,3,Aug/2016/300.0/SOLD
47,174-parer-road-airport-west-vic-3042,675000,16-Jul-2016,2,1,2,613,m2,House,https://www.domain.com.au/174-parer-road-airport-west-vic-3042-2012871361,,1.4-1.3-2.9,3,Jul/2016/675000.0/SOLD
48,2/137-mcnamara-ave-airport-west-vic-3042,405000,27-Jun-2016,2,1,2,166,m2,House,https://www.domain.com.au/2-137-mcnamara-ave-airport-west-vic-3042-2012829949,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Formal Lounge""-""Garden""-""Secure Parking""-""Separate Dining""",1.2-2.9-0.5,3,
49,4/12-laurence-avenue-airport-west-vic-3042,482000,20-Feb-2016,2,1,1,-1,None,House,https://www.domain.com.au/4-12-laurence-avenue-airport-west-vic-3042-2012544066,,0.3-0.2-2,3,
50,2/1-south-road-airport-west-vic-3042,435000,12-Jan-2016,2,1,2,-1,None,House,https://www.domain.com.au/2-1-south-road-airport-west-vic-3042-2012499321,"Courtyard-""Secure Parking""-""Built in wardrobes""",0.9-0.8-2.6,3,
51,24-roberts-road-airport-west-vic-3042,470000,31-Oct-2015,2,1,1,-1,None,House,https://www.domain.com.au/24-roberts-road-airport-west-vic-3042-2012311484,,0.6-2.3-0.2,3,Aug/2021/395.0/SOLD-Oct/2015/630000.0/SOLD
52,7-lock-street-airport-west-vic-3042,911000,29-Aug-2015,2,1,2,809,m2,House,https://www.domain.com.au/7-lock-street-airport-west-vic-3042-2012147736,,0.3-0.2-2,3,
53,2/62-mcintosh-street-airport-west-vic-3042,432500,22-Aug-2015,2,1,1,-1,None,House,https://www.domain.com.au/2-62-mcintosh-street-airport-west-vic-3042-2012153884,,1.3-3-0.6,3,
54,52-el-reno-crescent-airport-west-vic-3042,607000,18-Jul-2015,2,1,1,510,m2,House,https://www.domain.com.au/52-el-reno-crescent-airport-west-vic-3042-2012058318,"Water Tank-""Shed""-""Fully fenced""-""Gas Heating""-""Split System AirCon""",0.8-2.5-0.4,3,Dec/2017/1415000.0/SOLD-Jul/2015/607000.0/SOLD
55,3-clydesdale-road-airport-west-vic-3042,622000,01-Jul-2015,2,1,-1,-1,None,House,https://www.domain.com.au/3-clydesdale-road-airport-west-vic-3042-2012030896,,0.3-0.2-2,3,Jul/2019/865000.0/SOLD-Jun/2015/695.0/SOLD
56,17-cameron-street-airport-west-vic-3042,570000,27-Jun-2015,2,1,1,-1,None,House,https://www.domain.com.au/17-cameron-street-airport-west-vic-3042-2012026660,,0.9-2.3-0.9,3,Dec/2020/755000.0/SOLD-Jun/2015/570000.0/SOLD-Apr/2013/652500.0/SOLD
57,airport-west-vic-3042,582000,22-Jun-2015,2,1,1,-1,None,House,https://www.domain.com.au/airport-west-vic-3042-2012035664,,0.6-2.4-0.1,3,
58,19-creswell-avenue-airport-west-vic-3042,890000,20-Jun-2015,2,1,1,-1,None,House,https://www.domain.com.au/19-creswell-avenue-airport-west-vic-3042-2012010968,,0.8-2-1.1,3,Jun/2015/320.0/SOLD
59,7a-bedford-street-airport-west-vic-3042,485000,16-May-2015,2,1,1,-1,None,Villa,https://www.domain.com.au/7a-bedford-street-airport-west-vic-3042-2011911133,"Courtyard-""Remote Garage""-""Secure Parking""-""Fully fenced""-""Split System Heating""-""Floorboards""-""Split System AirCon""-""Built in wardrobes""-""Ducted Heating""-""Reverse Cycle AirCon""",1.1-1-2.8,3,May/2015/485000.0/SOLD-Feb/2011/445000.0/SOLD-Jun/2006/295000.0/SOLD
60,2/48-bowes-avenue-airport-west-vic-3042,560000,18-Apr-2015,2,2,1,-1,None,House,https://www.domain.com.au/2-48-bowes-avenue-airport-west-vic-3042-2011847297,,0.6-2.1-0.8,3,
61,46-north-street-airport-west-vic-3042,630000,18-Apr-2015,2,1,1,-1,None,House,https://www.domain.com.au/46-north-street-airport-west-vic-3042-2011854388,,1.3-1.2-2.8,3,Apr/2015/680.0/SOLD
62,3/78-clydesdale-road-airport-west-vic-3042,437000,11-Apr-2015,2,1,1,-1,None,House,https://www.domain.com.au/3-78-clydesdale-road-airport-west-vic-3042-2011841160,,1-0.9-2.6,3,
63,8-sexton-street-airport-west-vic-3042,437500,23-Mar-2015,2,1,1,-1,None,House,https://www.domain.com.au/8-sexton-street-airport-west-vic-3042-2011696466,"Remote Garage-""Split System AirCon""-""Built in wardrobes""-""Ducted Heating""",1.5-3.2-0.9,3,Mar/2015/400.0/SOLD
64,13-highlawn-avenue-airport-west-vic-3042,580000,14-Mar-2015,2,1,2,-1,None,House,https://www.domain.com.au/13-highlawn-avenue-airport-west-vic-3042-2011765686,"Deck-""Secure Parking""-""Outdoor Entertaining""-""Floorboards""-""Built in wardrobes""",0.7-2.4-0.1,3,Mar/2015/580002.0/SOLD-Aug/2000/170000.0/SOLD
65,13-cameron-street-airport-west-vic-3042,568000,28-Feb-2015,2,1,1,290,m2,House,https://www.domain.com.au/13-cameron-street-airport-west-vic-3042-2011736234,,0.9-2.3-1,3,Mar/2018/701000.0/SOLD-Feb/2015/568000.0/SOLD-Sep/1999/185000.0/SOLD
66,1/151-halsey-road-airport-west-vic-3042,440000,19-Jan-2015,2,1,1,-1,None,House,https://www.domain.com.au/1-151-halsey-road-airport-west-vic-3042-2011643690,,1.4-1.3-3,3,
67,37a-etzel-street-airport-west-vic-3042,430000,24-Dec-2014,2,1,1,-1,None,House,https://www.domain.com.au/37a-etzel-street-airport-west-vic-3042-2011603284,,1.2-1.1-2.6,3,Dec/2014/430000.0/SOLD-Dec/2013/395000.0/SOLD
68,51-elstone-avenue-airport-west-vic-3042,751000,11-Oct-2014,2,1,1,696,m2,House,https://www.domain.com.au/51-elstone-avenue-airport-west-vic-3042-2011418757,,0.9-2.3-1,3,Oct/2014/751000.0/SOLD
69,9-west-court-airport-west-vic-3042,566000,12-May-2014,2,1,1,-1,None,House,https://www.domain.com.au/9-west-court-airport-west-vic-3042-2011072896,,1.1-1-2.5,3,May/2014/566000.0/SOLD
70,164-halsey-road-airport-west-vic-3042,320000,10-May-2014,2,1,1,-1,None,House,https://www.domain.com.au/164-halsey-road-airport-west-vic-3042-2011124809,,1.5-3-0.8,3,May/2014/320000.0/SOLD-Oct/2006/280.0/SOLD
71,95-marshall-road-airport-west-vic-3042,540000,03-Feb-2014,2,1,2,-1,None,House,https://www.domain.com.au/95-marshall-road-airport-west-vic-3042-2010939327,,1.6-3.3-0.9,3,Feb/2014/540000.0/SOLD
72,23-matthews-avenue-airport-west-vic-3042,550000,18-Dec-2013,2,1,1,586,m2,House,https://www.domain.com.au/23-matthews-avenue-airport-west-vic-3042-2010849794,,1-2.2-1.1,3,Jan/2018/832000.0/SOLD-Dec/2014/550000.0/SOLD-Mar/2014/550000.0/SOLD
73,23-hart-street-airport-west-vic-3042,451000,11-Dec-2013,2,1,1,-1,None,House,https://www.domain.com.au/23-hart-street-airport-west-vic-3042-2010839758,,0.9-2.4-0.9,3,Mar/2017/603000.0/SOLD-Dec/2013/451000.0/SOLD-Sep/1998/150000.0/SOLD
