,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
18,43-hendra-grove-ringwood-vic-3134,1100000,15-Feb-2020,5,2,8,829,m2,House,https://www.domain.com.au/43-hendra-grove-ringwood-vic-3134-2016018319,,0.6-0.8-0.8,3,Feb/2020/1100000.0/SOLD-Apr/2002/413000.0/SOLD
19,13-henry-street-ringwood-vic-3134,1640000,23-Sep-2019,5,3,2,613,m2,House,https://www.domain.com.au/13-henry-street-ringwood-vic-3134-2015531393,,0.6-0.7-5.7,3,Sep/2019/1640000.0/SOLD-Nov/2003/268000.0/SOLD-Nov/1986/66000.0/SOLD
20,15-herbert-street-ringwood-vic-3134,1100000,13-Sep-2019,5,2,2,836,m2,House,https://www.domain.com.au/15-herbert-street-ringwood-vic-3134-2015467048,,0.7-1-1.3,3,Sep/2019/1095500.0/SOLD-Apr/2000/200000.0/SOLD-Jul/1996/147500.0/SOLD
21,11-&-13-heathmont-road-ringwood-vic-3134,1690000,20-Jul-2019,5,2,5,1672,m2,House,https://www.domain.com.au/11-13-heathmont-road-ringwood-vic-3134-2015384214,,0.9-1.1-1.3,3,
22,17-kenwood-crescent-ringwood-vic-3134,930000,01-May-2019,5,3,2,675,m2,House,https://www.domain.com.au/17-kenwood-crescent-ringwood-vic-3134-2015134274,"Close to transport-""Close to shops""-""Swimming Pool""-""Spa""-""Close to schools""-""Solar panels""",0.2-0.8-1,3,May/2019/930000.0/SOLD
23,1-avis-court-ringwood-vic-3134,902000,24-Apr-2019,5,2,2,674,m2,House,https://www.domain.com.au/1-avis-court-ringwood-vic-3134-2013319104,,0.3-1-1,3,Apr/2019/902000.0/SOLD-Sep/2004/340000.0/SOLD-Jun/1999/157000.0/SOLD
24,36-38-oliver-street-ringwood-vic-3134,1280000,27-Oct-2018,5,3,3,1492,m2,House,https://www.domain.com.au/36-38-oliver-street-ringwood-vic-3134-2014679501,"Close to schools-""Close to transport""-""Swimming Pool""-""Study""",0.7-1.1-1.1,3,Oct/2018/1280000.0/SOLD-Jan/2015/1100000.0/SOLD-Mar/2010/880000.0/SOLD
25,12-14-pitt-street-ringwood-vic-3134,1020000,27-Oct-2018,7,3,1,1607,m2,House,https://www.domain.com.au/12-14-pitt-street-ringwood-vic-3134-2014667592,,0.6-1.1-6,3,
26,3-tania-court-ringwood-vic-3134,940000,12-Oct-2018,5,3,3,797,m2,House,https://www.domain.com.au/3-tania-court-ringwood-vic-3134-2014558939,"Air conditioning-""Built in wardrobes""-""Close to schools""-""Close to shops""-""Close to transport""-""Fireplace(s)""-""Garden""-""Floorboards""-""Formal Lounge""-""Separate Dining""-""Swimming Pool""-""Terrace-Balcony""",0.5-0.8-1.3,3,Oct/2018/940000.0/SOLD-Nov/1998/205000.0/SOLD-Jun/1985/120000.0/SOLD
27,28a-wonga-road-ringwood-vic-3134,1595000,27-Jul-2018,5,3,3,1622,m2,House,https://www.domain.com.au/28a-wonga-road-ringwood-vic-3134-2014381932,Study,0.2-0.3-0.5,3,Jul/2018/1595000.0/SOLD-Dec/2016/1360000.0/SOLD-Apr/2013/880000.0/SOLD
28,42-great-ryrie-street-ringwood-vic-3134,1600000,27-Mar-2018,5,3,7,1136,m2,House,https://www.domain.com.au/42-great-ryrie-street-ringwood-vic-3134-2014171752,,0.2-0.6-5.9,3,Mar/2018/1600000.0/SOLD
29,8-forest-court-ringwood-vic-3134,1225000,17-Mar-2018,5,2,2,776,m2,House,https://www.domain.com.au/8-forest-court-ringwood-vic-3134-2014173775,,0.7-1.5-0.6,3,Mar/2018/1225000.0/SOLD-Aug/1988/217000.0/SOLD-Feb/1986/139900.0/SOLD
30,13-james-street-ringwood-vic-3134,1230000,09-Dec-2017,5,3,2,591,m2,House,https://www.domain.com.au/13-james-street-ringwood-vic-3134-2014001711,,0.9-1-5.6,3,Dec/2017/1230000.0/SOLD-Nov/2012/630000.0/SOLD
31,106a-plymouth-road-ringwood-vic-3134,1480000,30-Oct-2017,5,2,2,1579,m2,House,https://www.domain.com.au/106a-plymouth-road-ringwood-vic-3134-2013894648,,0.9-1.7-0.5,3,Oct/2017/650.0/SOLD
32,68-+-68a-wantirna-road-ringwood-vic-3134,1330000,23-Sep-2017,6,2,2,732,m2,House,https://www.domain.com.au/68-68a-wantirna-road-ringwood-vic-3134-2013812197,,0.9-1.3-5.1,3,
33,14-bardia-street-ringwood-vic-3134,1755000,02-Sep-2017,7,3,-1,905,m2,House,https://www.domain.com.au/14-bardia-street-ringwood-vic-3134-2013758269,,0.8-1.4-0.5,3,
34,4-stanhope-court-ringwood-vic-3134,788000,13-Apr-2017,5,2,2,545,m2,House,https://www.domain.com.au/4-stanhope-court-ringwood-vic-3134-2013339039,,1.1-1.2-4.7,3,
35,89-kalinda-road-ringwood-vic-3134,1100000,05-Apr-2017,6,2,2,806,m2,House,https://www.domain.com.au/89-kalinda-road-ringwood-vic-3134-2013458591,,0.6-1.2-0.3,3,Apr/2017/1100000.0/SOLD-Aug/2005/552000.0/SOLD-Nov/1988/232500.0/SOLD
36,27-tandarra-drive-ringwood-vic-3134,1325000,24-Feb-2017,5,3,3,766,m2,House,https://www.domain.com.au/27-tandarra-drive-ringwood-vic-3134-2013344712,,0.8-1.6-0.5,3,Mar/2021/1380000.0/SOLD-Feb/2017/1325000.0/SOLD
37,11-ireland-street-ringwood-vic-3134,1325000,17-Dec-2016,6,2,4,928,m2,House,https://www.domain.com.au/11-ireland-street-ringwood-vic-3134-2013251601,,0.8-1.2-5.3,3,Dec/2016/1325000.0/SOLD-May/2005/430000.0/SOLD-Jan/2003/357500.0/SOLD
38,28a-wonga-road-ringwood-vic-3134,1360000,09-Dec-2016,5,3,3,1622,m2,House,https://www.domain.com.au/28a-wonga-road-ringwood-vic-3134-2013182562,,0.2-0.3-0.5,3,Jul/2018/1595000.0/SOLD-Dec/2016/1360000.0/SOLD-Apr/2013/880000.0/SOLD
39,33-sonia-street-ringwood-vic-3134,679000,23-Jul-2016,5,2,2,763,m2,House,https://www.domain.com.au/33-sonia-street-ringwood-vic-3134-2012895193,,0.5-0.6-1.1,3,Jul/2016/475.0/SOLD
40,69-71-ringwood-street-ringwood-vic-3134,882000,02-Jun-2016,5,3,2,884,m2,House,https://www.domain.com.au/69-71-ringwood-street-ringwood-vic-3134-2012786510,,1-1.3-1,3,Jun/2016/540.0/SOLD-Feb/2011/995000.0/SOLD
41,31-ireland-street-ringwood-vic-3134,1120000,28-May-2016,5,2,2,756,m2,House,https://www.domain.com.au/31-ireland-street-ringwood-vic-3134-2012788078,"Ensuite-""Deck""-""Workshop""-""Secure Parking""-""Above Ground Pool""-""Outdoor Ent.""-""Shed""-""Built in wardrobes""-""Dishwasher""-""Water Tank x1""",0.8-1.3-5.1,3,May/2016/1120000.0/SOLD-Jul/1990/130000.0/SOLD-Sep/1986/85500.0/SOLD
42,12-bellevue-avenue-ringwood-vic-3134,795000,03-May-2016,5,3,-1,849,m2,House,https://www.domain.com.au/12-bellevue-avenue-ringwood-vic-3134-2012742729,Dishwasher,0.3-0.5-6.1,3,
43,46-holyrood-crescent-ringwood-vic-3134,1060000,02-Apr-2016,5,3,2,787,m2,House,https://www.domain.com.au/46-holyrood-crescent-ringwood-vic-3134-2012638213,Study,0.4-1.2-0.9,3,Apr/2016/1060000.0/SOLD-Oct/1990/190000.0/SOLD
44,112-114-warrandyte-road-ringwood-vic-3134,2030000,27-Feb-2016,5,3,3,2208,m2,House,https://www.domain.com.au/112-114-warrandyte-road-ringwood-vic-3134-2012554050,,0.5-0.8-1.1,3,Mar/2020/1300000.0/SOLD-Apr/2017/2850000.0/SOLD
45,5-hendra-grove-ringwood-vic-3134,1070000,10-Dec-2015,6,3,2,701,m2,House,https://www.domain.com.au/5-hendra-grove-ringwood-vic-3134-2012449213,"Air conditioning-""Heating""-""Study""",0.2-0.4-0.7,3,Dec/2015/1070000.0/SOLD-Feb/2007/320000.0/SOLD-Apr/2002/255500.0/SOLD
46,82-wantirna-road-ringwood-vic-3134,1230000,24-Nov-2015,5,2,2,1238,m2,House,https://www.domain.com.au/82-wantirna-road-ringwood-vic-3134-2012352555,,0.9-1.4-5.1,3,Nov/2015/1230000.0/SOLD-Dec/1994/121000.0/SOLD-Sep/1993/122000.0/SOLD
47,8-yarmouth-street-ringwood-vic-3134,951000,24-Oct-2015,5,2,2,840,m2,House,https://www.domain.com.au/8-yarmouth-street-ringwood-vic-3134-2012293118,Study,1-1.5-5,3,Oct/2015/951000.0/SOLD-Mar/2011/425.0/SOLD
48,15-neville-street-ringwood-vic-3134,1028888,20-Oct-2015,5,1,1,840,m2,House,https://www.domain.com.au/15-neville-street-ringwood-vic-3134-2012291127,"Deck-""Courtyard""-""Water Tank""-""Outdoor Entertaining""-""Gas Heating""-""Floorboards""-""Split System AirCon""-""Built in wardrobes""-""Ducted Heating""-""Rumpus Room""",1.4-1.8-4.6,3,
49,10-bellevue-avenue-ringwood-vic-3134,975000,05-Sep-2015,5,2,2,850,m2,House,https://www.domain.com.au/10-bellevue-avenue-ringwood-vic-3134-2012175048,,0.3-0.5-6.1,3,
50,32-heathmont-road-ringwood-vic-3134,848000,01-Aug-2015,5,3,2,622,m2,House,https://www.domain.com.au/32-heathmont-road-ringwood-vic-3134-2012094825,,0.3-0.6-6.1,3,Aug/2015/848000.0/SOLD-Jul/2004/310000.0/SOLD
51,1-wantirna-road-ringwood-vic-3134,706500,11-Jul-2015,6,2,-1,-1,None,House,https://www.domain.com.au/1-wantirna-road-ringwood-vic-3134-2012052235,,1-1.1-5.6,3,Feb/2017/310.0/SOLD
52,10-frederic-drive-ringwood-vic-3134,780000,20-Jun-2015,5,2,2,-1,None,House,https://www.domain.com.au/10-frederic-drive-ringwood-vic-3134-2012001207,,0.6-1-1.2,3,Jun/2015/650.0/SOLD-Aug/2010/780000.0/SOLD
53,10-georges-road-ringwood-vic-3134,1010900,22-May-2015,5,3,2,472,m2,House,https://www.domain.com.au/10-georges-road-ringwood-vic-3134-2011532474,,0.8-1.4-0.9,3,May/2015/1010899.9999999999/SOLD-Mar/2014/300000.0/SOLD-Oct/1989/81000.0/SOLD
54,104-wantirna-road-ringwood-vic-3134,710000,02-May-2015,5,2,2,748,m2,House,https://www.domain.com.au/104-wantirna-road-ringwood-vic-3134-2011729759,,1-1.4-4.9,3,May/2015/710000.0/SOLD-Feb/2005/250.0/SOLD
55,402-maroondah-highway-ringwood-vic-3134,530000,10-Feb-2015,6,2,2,-1,None,House,https://www.domain.com.au/402-maroondah-highway-ringwood-vic-3134-2011582838,,0.9-1.2-8.5,3,Feb/2015/530000.0/SOLD-Dec/2012/390000.0/SOLD-Mar/2006/248000.0/SOLD
56,36-38-oliver-street-ringwood-vic-3134,1100000,13-Jan-2015,5,3,3,-1,None,House,https://www.domain.com.au/36-38-oliver-street-ringwood-vic-3134-2011594280,Study,0.7-1.1-1.1,3,Oct/2018/1280000.0/SOLD-Jan/2015/1100000.0/SOLD-Mar/2010/880000.0/SOLD
57,56-wonga-road-ringwood-vic-3134,675000,10-Dec-2014,5,3,2,-1,None,House,https://www.domain.com.au/56-wonga-road-ringwood-vic-3134-2011586410,,0.4-0.7-0.5,3,Dec/2014/675000.0/SOLD-Jun/1999/219000.0/SOLD
58,38-frederic-drive-ringwood-vic-3134,640000,14-Nov-2014,5,2,2,707,m2,House,https://www.domain.com.au/38-frederic-drive-ringwood-vic-3134-2011544550,,0.3-1-1.1,3,Nov/2014/550.0/SOLD
59,23-hillcrest-avenue-ringwood-vic-3134,551000,21-Jun-2014,5,2,4,1057,m2,House,https://www.domain.com.au/23-hillcrest-avenue-ringwood-vic-3134-2011204530,,0.8-2.2-1.5,3,Jun/2014/551000.0/SOLD-Dec/1986/105000.0/SOLD
60,20-federico-court-ringwood-vic-3134,1000000,02-Apr-2014,5,3,2,785,m2,House,https://www.domain.com.au/20-federico-court-ringwood-vic-3134-2011083166,,0.8-1.6-0.6,3,Apr/2014/1000000.0/SOLD-Oct/1997/93000.0/SOLD
61,21-federico-court-ringwood-vic-3134,800000,07-Mar-2014,5,2,2,-1,None,House,https://www.domain.com.au/21-federico-court-ringwood-vic-3134-2010998720,,0.8-1.6-0.7,3,Mar/2014/800000.0/SOLD
62,41-mundara-drive-ringwood-vic-3134,956000,22-Feb-2014,5,2,2,1061,m2,House,https://www.domain.com.au/41-mundara-drive-ringwood-vic-3134-2010955122,,0.4-1.3-0.6,3,Feb/2014/953000.0/SOLD-Mar/2007/525000.0/SOLD-Feb/2004/450000.0/SOLD
63,14-woodchurch-close-ringwood-vic-3134,725000,21-Dec-2013,5,3,2,-1,None,House,https://www.domain.com.au/14-woodchurch-close-ringwood-vic-3134-2010862682,,0.7-1.4-0.4,3,Dec/2013/725000.0/SOLD-Mar/2010/606500.0/SOLD-May/1982/89000.0/SOLD
64,33-mundara-drive-ringwood-vic-3134,687500,10-Dec-2013,5,3,2,791,m2,House,https://www.domain.com.au/33-mundara-drive-ringwood-vic-3134-2010858442,,0.4-1.2-0.6,3,Dec/2013/687500.0/SOLD-Apr/1988/154000.0/SOLD-Aug/1979/17325.0/SOLD
65,59-mundara-drive-ringwood-vic-3134,649000,05-Dec-2013,5,2,2,776,m2,House,https://www.domain.com.au/59-mundara-drive-ringwood-vic-3134-2010836686,,0.6-1.5-0.7,3,Dec/2013/550.0/SOLD
66,22-strathallyn-road-ringwood-vic-3134,770000,15-Nov-2013,5,3,2,455,m2,House,https://www.domain.com.au/22-strathallyn-road-ringwood-vic-3134-2010759561,,0.4-0.7-1.1,3,Nov/2013/770000.0/SOLD
67,9-emerald-street-ringwood-vic-3134,589000,23-Oct-2013,5,2,1,-1,None,House,https://www.domain.com.au/9-emerald-street-ringwood-vic-3134-2010767476,,0.3-0.7-5.8,3,Oct/2013/589000.0/SOLD-Feb/1990/242000.0/SOLD-Jul/1989/120000.0/SOLD
68,21-holyrood-cescent-ringwood-vic-3134,695000,08-Oct-2013,6,2,2,-1,None,House,https://www.domain.com.au/21-holyrood-cescent-ringwood-vic-3134-2010705223,,0.4-1.3-1,3,
69,34-barkly-street-ringwood-vic-3134,600000,04-Sep-2013,5,1,1,837,m2,House,https://www.domain.com.au/34-barkly-street-ringwood-vic-3134-2010666411,,1.3-1.5-5.1,3,Sep/2013/600000.0/SOLD-Feb/2002/235000.0/SOLD
70,140-warrandyte-road-ringwood-vic-3134,510000,25-May-2011,5,2,-1,842,m2,House,https://www.domain.com.au/140-warrandyte-road-ringwood-vic-3134-2008925863,,0.3-0.5-0.9,3,May/2011/510000.0/SOLD-Apr/2009/303000.0/SOLD-Sep/2001/186000.0/SOLD
71,7-jacks-place-ringwood-vic-3134,1155000,20-Nov-2010,5,4,3,-1,None,House,https://www.domain.com.au/7-jacks-place-ringwood-vic-3134-2008606751,Secure Parking,0.7-1.5-0.4,3,Dec/2013/1230000.0/SOLD-Nov/2010/1155000.0/SOLD-Feb/2001/173500.0/SOLD
72,10-frederic-drive-ringwood-vic-3134,580000,01-Oct-2010,5,2,2,-1,None,House,https://www.domain.com.au/10-frederic-drive-ringwood-vic-3134-2008391224,,0.6-1-1.1,3,Jun/2015/650.0/SOLD-Aug/2010/780000.0/SOLD
73,36---38-oliver-street-ringwood-vic-3134,880000,31-Mar-2010,5,3,3,-1,None,House,https://www.domain.com.au/36-38-oliver-street-ringwood-vic-3134-2008271713,Study,0.7-1.1-1.1,3,
74,37-jeffrey-drive-ringwood-vic-3134,530000,08-Dec-2009,5,2,-1,-1,None,House,https://www.domain.com.au/37-jeffrey-drive-ringwood-vic-3134-2008118120,,0.7-0.9-1.1,3,Dec/2009/530000.0/SOLD
75,305-canterbury-road-(via-service-lane)-ringwood-vic-3134,515000,12-Nov-2009,5,1,1,-1,None,House,https://www.domain.com.au/305-canterbury-road-via-service-lane-ringwood-vic-3134-2008067245,,0.8-0.9-4.5,3,
